IndicatorCode,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45
YEAR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CUB,104.0,111.0,97.0,101.0,97.0,79.0,104.0,70.0,55.0,33.0,51.0,47.0,63.0,4.628,6.05,4.298,4.879,1.636,2.75,1.665,1.1,2.773,0.562,1.7,0.856,0.596,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,22.891,20.594,18.652,18.175,16.208,16.544,19.404,16.412,10.153,7.196,12.49,10.988,13.753,286.0,253.0,232.0,244.0,213.0,226.0,258.0,227.0,140.0,106.0,156.0,142.0,178.0,25.375,22.458,20.606,21.42312,18.561,19.678,22.755,20.029,12.36,9.417,13.91,12.685,16.212,14.0,13.0,5.0,21.0,15.0,10.0,13.0,19.0,18.0,11.0,17.0,22.0,23.0,1.23,1.13914,0.43707,1.83223,1.30708,0.87073,1.14657,1.68,1.59,0.977,1.52,1.965,2.095,9.0,11.0,8.0,9.0,3.0,5.0,3.0,2.0,5.0,1.0,3.0,2.0,1.0,17.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,208.0,183.0,244.0,233.0,264.0,248.0,254.0,258.0,232.0,210.0,207.0,186.0,190.0,220.0,186.0,115.0,81.0,140.0,123.0,151.0
CYP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,,,1.0,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0
CZE,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,
DEU,,,,,,,0.0,,0.0,1.0,2.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,2.0,3.0,1.0,1.0,,,,0.025,0.024,,0.0,,0.0,0.024,0.04,0.012,0.012,,,,,,,0.0,,,1.0,0.0,0.0,1.0,,,,,0.0,,0.0,,,0.012,0.0,0.0,0.012,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,1.0,,,,,,2.0,2.0,,0.0,,0.0,2.0,3.0,1.0,1.0
DJI,2.0,,,,,,,,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,0.0,0.0,,,,,,0.0,,,0.0,,2.327,,,13.516,,,,,0.0,,0.0,0.0,,14.0,,,0.0,,,,,0.0,,,0.0,,16.286,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,2.0,1.0,6.0,2.0,,,12.0,,,,,0.0,,0.0,0.0,
DMA,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,1.0,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.167,,,,,,,,0.0,,0.0,0.0,0.0,1.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.167,,,,,,,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,0.0,,0.0,0.0,0.0,0.167,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,1.0
DOM,58.0,44.0,70.0,56.0,57.0,55.0,92.0,67.0,37.0,61.0,35.0,38.0,40.0,1.013,4.033,4.552,5.519,3.57,2.694,4.55,5.377,0.672,2.301,0.99,1.497,0.988,,,6.0,13.0,3.0,2.0,1.0,0.0,15.0,12.066,12.303,35.141,13.107,11.738,12.461,20.514,16.296,6.822,13.312,8.64,7.677,7.263,355.0,344.0,159.0,287.0,252.0,241.0,309.0,363.0,271.0,299.0,275.0,229.0,207.0,34.544,33.065,15.101,27.25963,23.665,22.383,29.076,33.802,24.982,26.894,24.49,20.207,18.114,2.0,8.0,14.0,9.0,3.0,7.0,10.0,9.0,4.0,10.0,7.0,9.0,13.0,0.19695,0.77811,1.3454,0.85483,0.28172,0.65013,0.94099,0.84,0.37,0.899,0.62,0.794,1.138,3.0,12.0,14.0,17.0,11.0,8.0,14.0,16.0,2.0,7.0,3.0,6.0,3.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,155.0,177.0,164.0,154.0,167.0,144.0,154.0,124.0,128.0,370.0,138.0,125.0,131.0,218.0,175.0,74.0,148.0,97.0,87.0,83.0
DZA,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.15,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ECU,39.0,,,,,8.0,13.0,11.0,1.0,5.0,11.0,14.0,13.0,0.0,,,,,0.0,0.0,0.0,0.0,0.431,0.43,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,5.551,,0.0,,1.099,2.647,2.458,5.065,0.794,1.461,2.28,2.419,1.379,184.0,,,,51.0,33.0,42.0,64.0,4.0,29.0,41.0,42.0,33.0,11.877,,0.0,,3.113,1.985,2.458,3.684,0.227,1.629,2.28,2.309,1.82,5.0,,,,2.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,0.32426,,,,0.12206,0.0,0.11707,0.4,0.0,0.0,0.11,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,116.0,95.0,107.0,83.0,81.0,134.0,112.0,86.0,,,,18.0,44.0,42.0,88.0,14.0,26.0,41.0,44.0,25.0
EGY,243.0,,210.0,227.0,230.0,196.0,141.0,215.0,132.0,147.0,148.0,253.0,245.0,1.026,,0.737,1.469,1.361,0.991,0.579,0.765,0.547,0.665,0.58,1.026,1.716,,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,7.978,,6.764,6.371,6.803,5.566,4.135,5.349,3.088,3.304,3.56,5.172,4.471,625.0,,538.0,598.0,721.0,735.0,407.0,540.0,318.0,361.0,395.0,670.0,1082.0,7.743,,6.452,6.53494,7.535,7.534,4.135,5.379,3.107,3.304,3.56,5.944,9.285,68.0,,47.0,45.0,51.0,45.0,40.0,47.0,29.0,38.0,40.0,90.0,88.0,0.77437,,0.51191,0.47986,0.53298,0.46129,0.40641,0.47,0.28,0.348,0.36,0.798,0.755,29.0,,22.0,45.0,43.0,32.0,19.0,26.0,19.0,24.0,21.0,48.0,64.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,5.0,1134.0,945.0,887.0,797.0,700.0,680.0,649.0,644.0,,564.0,583.0,651.0,543.0,407.0,537.0,316.0,361.0,395.0,583.0,521.0
ERI,,,0.0,0.0,,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,,,0.0,0.0,,0.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.153,0.956,,0.592,1.738,0.858,0.282,0.276,0.81,0.8,0.849,,,1.0,16.0,,5.0,6.0,3.0,3.0,1.0,3.0,3.0,3.0,,,0.153,3.06057,,0.986,1.738,0.858,0.846,0.276,0.81,0.8,0.849,,,1.0,5.0,,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,,,0.2107,1.03157,,0.19728,0.57924,0.29,0.28,0.0,0.54,0.267,0.0,,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,,,,11.0,,,,1.0,5.0,,3.0,6.0,3.0,1.0,1.0,3.0,3.0,3.0
ESP,,,,,,3.0,4.0,,2.0,,8.0,4.0,2.0,,,,,,0.146,0.0,,,,0.0,0.0,0.0,,7.0,5.0,,1.0,,8.0,7.0,8.0,,,,0.173,,0.193,0.15,,0.04,,0.21,0.147,0.167,,,,,,11.0,10.0,,16.0,,0.0,0.0,8.0,,,,,,0.237,0.214,,0.34,,0.0,0.0,0.167,,,,,,,0.0,,,,0.0,7.0,8.0,,,,,,,0.0,,,,0.0,0.147,0.167,,,,,,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,19.0,17.0,17.0,10.0,,,,,8.0,,9.0,7.0,,2.0,,10.0,7.0,8.0
EST,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
ETH,912.0,,,1239.0,1019.0,1024.0,1168.0,1281.0,1032.0,956.0,1150.0,741.0,896.0,6.393,10.308,11.642,13.418,8.454,8.135,6.684,11.215,8.498,5.992,7.45,2.544,3.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.165,46.482,38.941,39.943,36.054,29.669,29.462,28.56,22.538,21.524,24.04,18.929,19.105,,4925.0,3758.0,3758.0,3692.0,3114.0,3218.0,3427.0,1236.0,3010.0,3415.0,2874.0,2968.0,,52.338,38.941,37.81036,36.054,29.669,29.462,30.577,10.751,25.024,27.68,22.715,22.475,261.0,361.0,384.0,421.0,419.0,402.0,256.0,411.0,384.0,307.0,295.0,229.0,230.0,2.82333,3.8045,3.94385,4.21535,4.09167,3.83012,2.3438,3.67,3.34,2.552,2.39,1.81,1.742,260.0,466.0,482.0,563.0,360.0,351.0,292.0,507.0,390.0,288.0,364.0,162.0,181.0,,,39.0,19.0,68.0,77.0,55.0,32.0,42.0,13.0,10.0,4698.0,,4187.0,4170.0,4417.0,4430.0,5280.0,3776.0,4374.0,3758.0,3970.0,3692.0,3114.0,3218.0,3201.0,2591.0,2589.0,2966.0,2395.0,2523.0
FIN,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
FJI,1.0,2.0,2.0,1.0,0.0,,1.0,1.0,,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.003,3.994,15.343,,0.0,3.76,0.0,3.974,,1.0,4.0,5.0,,1.0,1.0,7.0,2.0,3.43,6.81,5.637,3.363,3.338,4.417,10.187,13.484,,3.245,4.3,16.019,8.613,3.0,8.0,7.0,3.0,3.0,4.0,9.0,5.0,,4.0,4.0,10.0,8.0,3.43,9.08,7.892,3.36268,3.338,4.417,10.187,5.618,,4.326,4.3,10.679,8.613,0.0,0.0,1.0,2.0,1.0,3.0,2.0,6.0,,0.0,1.0,2.0,4.0,0.0,0.0,1.12892,2.24179,1.11264,3.31308,2.26377,6.74,,0.0,1.08,2.136,4.307,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,,0.0,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,4.0,4.0,6.0,4.0,2.0,2.0,,3.0,6.0,5.0,3.0,3.0,4.0,9.0,12.0,,3.0,4.0,15.0,8.0
FRA,,,,,,4.0,5.0,4.0,2.0,7.0,8.0,2.0,8.0,,,,,,0.341,,0.0,0.0,0.0,0.27,0.0,0.0,,8.0,8.0,10.0,7.0,5.0,18.0,6.0,17.0,,,,,,0.185,0.138,0.154,0.107,0.186,0.28,0.093,0.286,,,,,,,13.0,,0.0,,0.0,0.0,24.0,,,,,,,0.2,,0.0,,0.0,0.0,0.361,,,,,,,,1.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,0.02,0.03,0.0,0.0,0.0,0.0,,,,,,4.0,,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,12.0,9.0,10.0,7.0,12.0,18.0,6.0,19.0
FSM,93.0,75.0,65.0,45.0,63.0,50.0,45.0,63.0,35.0,41.0,39.0,29.0,36.0,2887.766,2150.898,1912.252,539.084,1081.403,1435.886,1057.512,1284.952,1170.666,691.085,200.74,389.147,638.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2437.255,1883.203,1713.136,1569.979,1610.506,1336.012,1127.486,1265.256,1121.534,786.699,805.86,789.766,689.283,224.0,188.0,126.0,148.0,139.0,,121.0,49.0,48.0,34.0,5.0,57.0,81.0,2166.449,1815.601,1212.67,1416.81026,1324.617,,1074.219,430.538,417.315,300.537,43.8,494.689,715.794,2.0,1.0,4.0,12.0,10.0,8.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,19.32367,9.64329,38.4523,110.207,90.732,71.774,44.389,8.79,34.78,0.0,0.0,0.0,0.0,104.0,77.0,71.0,20.0,40.0,53.0,39.0,46.0,42.0,24.0,32.0,18.0,23.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,151.0,141.0,124.0,122.0,117.0,196.0,252.0,195.0,178.0,164.0,169.0,141.0,127.0,144.0,129.0,89.0,92.0,91.0,78.0
GAB,12.0,,8.0,11.0,7.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,,4.424,0.0,1.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18.376,,9.35,11.592,9.092,2.963,5.662,1.841,1.348,0.427,0.84,0.821,1.575,43.0,,0.0,32.0,17.0,6.0,14.0,6.0,3.0,1.0,2.0,3.0,3.0,26.339,,,18.54758,8.587,2.963,6.606,2.762,1.348,0.427,0.84,1.231,1.182,12.0,,4.0,7.0,5.0,4.0,6.0,1.0,1.0,0.0,2.0,2.0,3.0,6.83053,,2.13252,3.62661,2.52552,1.97518,2.83116,0.46,0.45,0.0,0.84,0.821,1.182,0.0,,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,30.0,37.0,27.0,24.0,26.0,40.0,32.0,30.0,,16.0,20.0,18.0,6.0,12.0,4.0,3.0,1.0,2.0,2.0,4.0
GBR,,,,,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,,,,,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,2.0,4.0,5.0,,,12.0,0.303,,,0.062,0.076,0.06,0.104,0.03,0.059,0.074,0.148,0.044,0.174,,,,,5.0,0.0,,4.0,6.0,5.0,10.0,5.0,12.0,,,,,0.076,0.0,,0.059,0.088,0.074,0.148,0.074,0.174,,,,,1.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,,,,,0.0152,0.0,0.02979,0.01,0.015,0.0,0.044,0.015,0.029,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,7.0,,2.0,10.0,19.0,,,4.0,5.0,4.0,7.0,2.0,4.0,5.0,10.0,3.0,12.0
GEO,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
GHA,,,,141.0,116.0,104.0,114.0,126.0,107.0,137.0,134.0,116.0,126.0,,,,0.648,0.272,,0.876,1.056,0.52,0.654,0.73,0.438,0.649,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,11.018,10.317,8.948,9.272,9.172,8.367,8.01,8.28,6.858,8.075,,,,314.0,285.0,254.0,309.0,324.0,279.0,303.0,332.0,335.0,373.0,,,,11.45572,10.104,8.809,10.381,10.652,8.979,9.229,9.92,9.818,10.834,,,,12.0,14.0,26.0,35.0,15.0,24.0,43.0,36.0,37.0,42.0,,,,0.43505,0.49634,0.90173,1.17579,0.49,0.77,1.31,1.08,1.084,1.22,,,,7.0,3.0,,10.0,12.0,6.0,8.0,9.0,7.0,8.0,,,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,803.0,,594.0,557.0,623.0,,,,,,302.0,291.0,258.0,276.0,279.0,260.0,263.0,277.0,234.0,278.0
GIN,202.0,181.0,113.0,87.0,29.0,120.0,129.0,141.0,125.0,80.0,72.0,122.0,85.0,8.203,2.703,3.558,2.871,1.003,2.996,3.258,4.685,1.769,3.003,0.7,0.812,2.154,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.249,32.95,20.01,14.593,19.684,21.131,22.474,21.298,16.904,14.115,13.57,17.194,13.487,406.0,328.0,313.0,284.0,241.0,266.0,261.0,221.0,192.0,228.0,188.0,244.0,210.0,35.455,27.926,25.988,22.52433,19.442,20.917,21.024,17.304,14.62,16.849,13.57,17.194,14.233,67.0,54.0,38.0,32.0,53.0,40.0,61.0,51.0,43.0,27.0,2.0,33.0,28.0,5.93895,4.68075,3.21884,2.64648,4.2756,3.14535,4.91369,3.99,3.27,1.995,0.14,2.325,1.898,40.0,15.0,17.0,14.0,5.0,16.0,17.0,26.0,10.0,17.0,4.0,6.0,13.0,,,0.0,1.0,2.0,1.0,,0.0,0.0,1.0,1.0,980.0,,803.0,664.0,636.0,549.0,498.0,438.0,387.0,241.0,184.0,244.0,255.0,279.0,272.0,222.0,191.0,188.0,244.0,199.0
GLOBAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215636.0,,,,,,,,,,,
GMB,8.0,5.0,3.0,3.0,,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,11.686,7.722,3.23,0.0,,,0.973,0.965,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,18.423,18.385,7.858,6.027,,0.0,3.07,6.389,2.069,3.788,3.7,1.082,2.899,33.0,34.0,12.0,16.0,,0.0,9.0,15.0,4.0,11.0,19.0,17.0,8.0,18.423,18.385,6.286,8.03647,,0.0,3.947,6.389,1.655,4.167,7.02,6.13,2.899,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.53783,0.0,0.0,,0.0,0.87716,0.0,0.0,0.758,0.74,0.721,0.362,10.0,8.0,3.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,55.0,,,34.0,42.0,30.0,33.0,34.0,15.0,12.0,,0.0,7.0,15.0,5.0,10.0,10.0,3.0,8.0
GNB,,,,,10.0,17.0,,,3.0,4.0,8.0,3.0,0.0,,,,,2.696,3.955,,,0.0,0.0,0.0,0.0,0.0,,7.0,,,0.0,3.0,0.0,0.0,1.0,,,,,12.117,17.193,,,4.573,2.912,6.65,3.719,11.811,,,,,18.0,50.0,,,24.0,11.0,14.0,79.0,22.0,,,,,9.914,26.863,,,12.195,5.338,6.65,36.73,9.994,,,,,5.0,3.0,,,2.0,2.0,3.0,0.0,4.0,,,,,2.75376,1.6118,,,1.02,0.971,1.43,0.0,1.817,,,,,2.0,3.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,64.0,,58.0,78.0,75.0,,45.0,,,,,23.0,32.0,,,9.0,6.0,14.0,8.0,26.0
