IndicatorCode,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,ORALHEALTH_DENOMINATOR_CHEPPP,ORALHEALTH_DENOMINATOR_TTLPOP,ORALHEALTH_DENTALHEALTHCARE_EXP_PERCAP,ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,ORALHEALTH_HWF_DENTALPROSTHETICTECH_10K,ORALHEALTH_UHC_GOVSCHEME,PRISON_B9_1_DENTISTS_RATIO
ARM,2.99,2.96,2.99,3.04,3.08,3.19,3.34,3.31,3.27,3.24,2.37,1.67,1.92,2.07,2.34,3.19,3.16,3.39,4.04,4.23,4.29,4.44,4.41,4.16,3.89,3.7,3.67,3.6,3.97,4.06,3.59,2.93,3.59,,,,,,,,,,,,,,,,,,,,,,494.0,534.0,567.0,609.0,671.0,746.0,812.0,905.0,972.0,1009.0,1063.0,1071.0,1067.0,1048.0,1037.0,1056.0,1096.0,1074.0,1049.0,1027.0,742.0,516.0,586.0,629.0,706.0,959.0,945.0,1009.0,1197.0,1245.0,1257.0,1297.0,1290.0,1215.0,1138.0,1080.0,1072.0,1048.0,1155.0,1178.0,1039.0,841.0,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616.0,2805.608,38.05418,112.98285,,,4.07
ATG,,,,,,,,1.83,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.0,92.664,51.88096,4.82493,,,
AUS,4.22,4.19,4.27,4.3,4.35,4.58,4.66,4.64,4.69,4.7,4.54,4.75,4.78,4.71,5.01,4.96,4.86,,,5.26,5.18,5.37,5.59,5.62,5.71,5.78,5.84,5.91,5.96,6.09,6.09,6.2,6.41,,,,,,,,,,,,,,,,,,,,,,6283.0,6380.0,6516.0,6631.0,6722.0,6805.0,6897.0,6977.0,7076.0,7178.0,7221.0,7275.0,7493.0,7618.0,7784.0,8278.0,8534.0,8584.0,8767.0,8879.0,8691.0,9205.0,9356.0,9328.0,10041.0,10074.0,10001.0,,,11455.0,11473.0,12062.0,12767.0,13049.0,13472.0,13843.0,14205.0,14620.0,14981.0,15517.0,15667.0,16097.0,16782.0,,,,,,,,,,,,,,,,,,,,13096.0,,,,,,,,,,,,,,,,3601.0,3833.0,4020.0,4088.0,4153.0,4388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.0,1058.0,1069.0,1061.0,1058.0,1064.0,,5294.0,25670.051,288.2523,7370.32318,0.44836,,
AUT,3.61,3.72,3.82,3.98,4.13,4.25,4.41,4.54,4.54,4.59,4.65,4.82,4.9,4.97,5.03,5.14,5.4,5.59,5.65,5.74,5.81,5.87,5.92,5.96,6.0,5.94,5.89,5.95,5.94,6.06,6.11,6.16,6.14,6.19,,,,,,,,,,,,,,,,,,,,,1622.0,,,,,2124.0,2299.0,2406.0,2501.0,2663.0,2771.0,2889.0,2998.0,3147.0,3275.0,3379.0,3513.0,3618.0,3624.0,3666.0,3722.0,3879.0,3956.0,4037.0,4113.0,4232.0,4467.0,4640.0,4699.0,4786.0,4856.0,4925.0,4989.0,5055.0,5130.0,5133.0,5147.0,5239.0,5249.0,5380.0,5453.0,5522.0,5565.0,5655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,6134.0,8907.777,236.38799,2115.67254,0.78168,99.0,
AZE,2.99,3.04,3.1,3.14,3.24,3.23,3.17,3.06,2.84,2.77,2.73,2.73,2.79,2.71,2.73,2.78,2.79,2.86,2.78,2.72,2.7,2.59,2.63,2.58,2.7,2.71,2.8,2.9,3.0,3.1,3.18,3.22,3.38,,,,,,,,,,,,,,,,,,,,,,1777.0,,,,,2005.0,2075.0,2149.0,2251.0,2170.0,2164.0,2221.0,2294.0,2357.0,2466.0,2496.0,2484.0,2428.0,2279.0,2242.0,2234.0,2255.0,2325.0,2275.0,2321.0,2393.0,2431.0,2522.0,2486.0,2457.0,2467.0,2401.0,2461.0,2452.0,2601.0,2641.0,2762.0,2892.0,3011.0,3131.0,3239.0,3295.0,3481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.9,10284.951,12.60574,126.80115,,,
BDI,,,,,,,,,,,,,,,0.02,,,,,,0.0,0.0,,0.0,,,,,0.01,,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,2.0,2.0,,4.0,,,,,14.0,,8.0,8.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8,12220.227,0.11587,1.33589,,63.0,
BEL,7.31,7.41,7.49,7.53,7.58,7.75,7.87,7.95,8.08,8.14,7.47,7.47,7.44,7.4,7.4,7.34,7.35,7.23,7.16,7.08,7.02,7.05,7.08,7.14,7.23,7.35,7.48,7.49,7.54,7.57,7.69,7.71,7.58,11.92,,,,,,,,,,,,,,,,,,,,,,,,,,6273.0,6666.0,6917.0,7147.0,7182.0,7285.0,7413.0,7525.0,7596.0,7672.0,7852.0,7992.0,8095.0,8240.0,8326.0,7659.0,7680.0,7685.0,7680.0,7712.0,7694.0,7748.0,7677.0,7663.0,7655.0,7675.0,7777.0,7869.0,7965.0,8108.0,8291.0,8478.0,8516.0,8614.0,8697.0,8871.0,8926.0,8820.0,13963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5847.0,11561.717,185.20303,2122.05635,,99.0,1.93
BEN,,,,,,,,,,,,,,,0.01,,,,0.04,,,,,,,,0.01,,0.01,,,0.04,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,37.0,,,,,,,,9.0,,12.0,,,50.0,50.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,81.99,12643.123,0.2773,3.27599,0.01271,60.0,
BFA,,,,,,,,,,,,,,,0.04,,,,,,0.02,,0.02,,,,,0.04,0.05,0.03,0.05,0.05,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,32.0,,38.0,,,,,80.0,91.0,52.0,103.0,107.0,109.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,143.0,172.0,168.0,173.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,122.4,21522.626,0.22586,4.59092,0.00098,50.0,
BGD,,,,,,,,,,,,,0.14,,0.14,0.16,,0.14,0.23,0.26,0.29,0.31,0.31,0.39,0.4,0.41,0.44,0.5,0.59,0.58,0.68,0.69,0.75,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886.0,,1948.0,2344.0,,2059.0,3383.0,3841.0,4336.0,4815.0,4815.0,6034.0,6360.0,6520.0,7015.0,8155.0,9608.0,9608.0,11308.0,11593.0,12635.0,12940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4118.0,4239.0,4536.0,4536.0,4846.0,,,,,,,,,,,,,,,,,,,,,589.0,,,1103.0,1436.0,1682.0,1916.0,2170.0,2170.0,,,,,,,23.0,40.0,40.0,40.0,56.0,123.3,167420.951,0.07524,12.53376,0.00141,1.0,
