IndicatorCode,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,IHRSPAR2_C01,IHRSPAR2_C01,IHRSPAR2_C01,IHRSPAR2_C02,IHRSPAR2_C02,IHRSPAR2_C02,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR2018,SDGIHR2018,SDGIHR2018,SDGIHR2021,SDGIHR2021,SDGIHR2021,SDGIHR2021,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR
YEAR,2021,2022,2023,2024,2016,2017,2018,2019,2021,2022,2023,2024,2021,2022,2023,2021,2022,2023,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2010,2011,2012,2013,2014,2015,2016
151,,,,,,,,,,,,,65.0,70.0,64.0,77.0,74.0,73.0,73.0,77.0,80.0,86.0,81.0,86.0,85.0,78.0,74.0,71.0,73.0,74.0,76.0,74.0,,,,,,,,
154,,,,,,,,,,,,,76.0,76.0,76.0,81.0,82.0,86.0,70.0,73.0,84.0,88.0,88.0,89.0,86.0,85.0,85.0,85.0,84.0,82.0,82.0,83.0,,,,,,,,
155,,,,,,,,,,,,,60.0,62.0,63.0,74.0,76.0,76.0,71.0,77.0,80.0,85.0,87.0,86.0,86.0,85.0,80.0,84.0,83.0,78.0,78.0,79.0,,,,,,,,
17,,,,,,,,,,,,,27.0,34.0,30.0,45.0,47.0,47.0,31.0,39.0,53.0,39.0,43.0,42.0,44.0,44.0,36.0,33.0,41.0,39.0,43.0,41.0,,,,,,,,
18,,,,,,,,,,,,,28.0,26.0,32.0,41.0,39.0,49.0,50.0,60.0,58.0,53.0,76.0,69.0,77.0,70.0,43.0,45.0,54.0,48.0,53.0,54.0,,,,,,,,
19,,,,,,,,,,,,,50.0,55.0,50.0,68.0,68.0,66.0,53.0,63.0,66.0,73.0,75.0,77.0,80.0,80.0,66.0,71.0,72.0,67.0,67.0,64.0,,,,,,,,
199,,,,,,,,,,,,,38.0,41.0,41.0,54.0,56.0,53.0,42.0,44.0,49.0,52.0,51.0,59.0,57.0,52.0,41.0,44.0,48.0,49.0,51.0,49.0,,,,,,,,
2,,,,,,,,,,,,,36.0,39.0,40.0,52.0,53.0,53.0,44.0,46.0,51.0,53.0,57.0,60.0,62.0,57.0,44.0,46.0,50.0,50.0,53.0,51.0,,,,,,,,
202,,,,,,,,,,,,,34.0,37.0,38.0,50.0,51.0,51.0,40.0,44.0,50.0,51.0,53.0,59.0,59.0,55.0,41.0,43.0,48.0,48.0,51.0,49.0,,,,,,,,
21,,,,,,,,,,,,,70.0,75.0,75.0,96.0,96.0,96.0,79.0,92.0,97.0,97.0,98.0,98.0,98.0,100.0,95.0,96.0,96.0,94.0,93.0,93.0,,,,,,,,
29,,,,,,,,,,,,,49.0,53.0,52.0,68.0,70.0,69.0,50.0,60.0,61.0,67.0,65.0,68.0,74.0,72.0,57.0,64.0,61.0,62.0,64.0,65.0,,,,,,,,
30,,,,,,,,,,,,,78.0,88.0,80.0,95.0,95.0,88.0,79.0,77.0,81.0,87.0,88.0,89.0,90.0,90.0,84.0,87.0,89.0,88.0,88.0,83.0,,,,,,,,
34,,,,,,,,,,,,,42.0,50.0,52.0,67.0,70.0,69.0,52.0,54.0,59.0,63.0,67.0,68.0,70.0,64.0,52.0,54.0,62.0,60.0,62.0,64.0,,,,,,,,
35,,,,,,,,,,,,,66.0,69.0,69.0,75.0,79.0,80.0,66.0,72.0,71.0,77.0,82.0,83.0,86.0,84.0,65.0,65.0,67.0,68.0,70.0,71.0,,,,,,,,
39,,,,,,,,,,,,,53.0,55.0,55.0,69.0,71.0,67.0,59.0,59.0,60.0,62.0,67.0,70.0,66.0,66.0,60.0,66.0,64.0,66.0,68.0,66.0,,,,,,,,
419,,,,,,,,,,,,,49.0,53.0,49.0,67.0,66.0,64.0,50.0,61.0,64.0,72.0,73.0,76.0,79.0,79.0,63.0,69.0,70.0,65.0,65.0,62.0,,,,,,,,
432,,,,,,,,,,,,,45.0,47.0,47.0,58.0,59.0,59.0,51.0,58.0,58.0,58.0,66.0,68.0,68.0,59.0,49.0,53.0,55.0,56.0,58.0,55.0,,,,,,,,
