IndicatorCode,AMRGLASS_SURVL02,AMRGLASS_SURVL02,AMRGLASS_SURVL02,AMRGLASS_SURVL02,AMRGLASS_SURVL04,AMRGLASS_SURVL04,AMRGLASS_SURVL04,AMRGLASS_SURVL04,GDO_q9x5_1,GDO_q9x6_1,MH_10,MH_10,MH_10,MH_10,MH_10,MH_11,MH_11,MH_11,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_13,MH_13,MH_13,MH_13,MH_14,MH_14,MH_14,MH_14,MH_14,MH_15,MH_15,MH_15,MH_15,MH_15,MH_16,MH_16,MH_16,MH_16,MH_16,MH_17,MH_17,MH_17,MH_17,MH_17,MH_18,MH_18,MH_18,MH_18,MH_20,MH_24,MH_4,MH_5,MH_5,MH_5,MH_5,MH_5,MH_6,MH_6,MH_6,MH_6,MH_6,MH_7,MH_7,MH_7,MH_7,MH_8,MH_8,MH_8,MH_8,MH_8,MH_9,MH_9,MH_9,MH_9,MH_9,PRISON_B9_1_PHYCHIATRISTS_RATIO,PRISON_D3_DEATHS_SUICIDE_MRATE,RSUD_44,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE
YEAR,2017,2018,2019,2020,2017,2018,2019,2020,2017,2017,2013,2014,2015,2016,2017,2015,2016,2017,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2013,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2015,2016,2017,2014,2014,2011,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2020,2020,2008,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ATG,,,,,,,,,,,,,,,,,,,2.279392420666667,2.152451613666667,1.4198331306666667,1.6265802573333332,2.186269068,1.4836528766666666,0.444508122,0.34923202433333334,0.26261015,0.0,0.0,0.0,0.0,0.0,0.4100436746666667,0.39529055900000004,0.47287886500000004,0.0,0.0,0.0,0.6925685006666665,1.3444859630000001,,,,,,,,,,,,,,,,,,136.1048,,,,,1.00077,,,,,,,,,,,,8.0,,,,,1.00077,,,,7.00539,,,,,4.00308,,,,,,,,,,2.1272362276666668,2.0964830533333334,1.4374026629999996,1.38960904,1.8856728686666664,1.392818593,0.4879074253333333,0.390080065,0.29628851633333336,0.0,0.0,0.0,0.0,0.0,0.45230956633333336,0.4540975653333333,0.561593955,0.0,0.0,0.0,0.772060198,1.6062781294722221
AUS,,,,,,,,,,,,,,,,1.10506,,,11.977115206333332,12.139916774333335,11.283107135,10.263662615333333,9.803894047333333,10.621482686333332,10.150021700000002,10.480269621666666,11.017151751999998,10.461761172000001,10.899967753333334,10.440016503666667,10.938280479666668,10.712120259,11.830933808,12.323469231999999,11.337133675333334,12.597089795333332,12.187982066333333,12.771342243333331,11.904319805,11.774549924666667,,21.76091,,,,,0.75211,,,,,10.38255,,,,,7.21442,,,,,0.07143,,,,0.60085,,,23445.061,560.22,7.64,,,7.8,,,,,13.52546,,,,90.58152,,,,,,,,,,103.03554,,,,,,12.860686092333333,13.072256779,12.184645126,11.107269078666667,10.813225185333332,11.698919963,11.236949520000001,11.520057083333334,12.125833625333334,11.662138318666669,12.15217567,11.586089193,12.177858056333333,11.942622363666667,13.118641221333334,13.675273236666667,12.533038124333332,13.933066786333333,13.437586868666665,14.019565587,13.064040076,14.587039484277776
AUT,,,,,,,,,,,,,3.45676,,,2.61561,,,16.125119751333333,14.979342484999998,15.713915038666665,14.447098599666667,13.930265227333335,13.561676925999999,12.641546009,12.437798722333334,11.842002705333334,12.018446095,12.381723633333332,12.342564337333334,11.888262887333335,11.595752959666667,12.405953495333334,11.777501930333335,11.583858160666665,11.250265413000001,11.457211180000002,10.564968741,9.969222710666667,10.294691411333334,,19.48458,,,,,4.44769,,,,,59.66361,,,,,26.08699,,,,,0.09218,,,,0.26502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,94.32,,19.962709363333335,18.693181123333332,19.632842621666665,18.163386090333333,17.56096099266667,17.389840553333332,16.440481613666666,16.124025918666668,15.873729236,15.990955802666667,16.204526058,16.40729086,16.318370752,16.222967351333335,16.715520242,16.180409377,15.724813024333335,15.599331439000002,15.802223882666667,14.670949721999998,14.081478808333332,14.223388828250002
AZE,,,,,,,,,,,,,,0.15597,,,0.09358,,2.873823862666667,2.84217913,2.8866281436666674,3.0795200470000004,3.075222638333333,3.398789591,3.357245842333333,3.0944728006666664,3.1464291699999998,2.8956583753333334,2.8363252073333336,2.778555923666667,2.538800854666667,2.3017770816666663,2.1716491863333336,2.028983635,1.9535944910000003,1.9101196223333332,1.8113507263333333,1.8381735856666666,3.343029647333333,1.5765457410000001,,,0.41591,,,,,0.03119,,,,,2.91136,,,,,31.19319,,,,,0.11438,,,,0.0208,,,3.132,2.5,,,,3.5,,,,,3.45205,,,,6.71693,,,,,0.11438,,,,,1.16455,,,,0.1,2.5222838056666665,2.543095054666667,2.6314845703333334,2.8509473796666662,2.8795099200000003,3.2506637626666666,3.2066407216666666,3.019500354666667,3.0647917430000002,2.8389655566666665,2.8018554649999996,2.763922194333334,2.5250460146666667,2.2851007966666668,2.1513970663333333,2.016903997,1.9252291326666666,1.9030029656666667,1.8105539733333333,1.8474492500000002,3.2652582320000003,2.051228369111111
BDI,,,,,,,,,,,,,,,0.0098,,,0.02941,21.55364029,20.532370086666667,19.713173243333333,18.992275733333333,18.414450743333333,17.380313579333333,16.720349364333334,15.798428054333334,15.042432174,15.070051116,15.049384702666666,14.842761601333331,14.633475972,14.582413481000001,14.558387412666667,14.239905635666666,14.415707250666665,14.362180144666667,14.177569047666667,13.990422684666667,13.983459192333333,15.246116649000001,,,,,,,,,,,,,,,,,,,1.38245,,,,,0.0098,,,,,0.343,,0.34,,,,,0.2,,,,,0.0098,,,,0.04902,,,,,0.06863,,,,,0.49023,,,,10.968480159666667,10.354164583,9.854643042666666,9.394027647,9.052050911,8.447825855666666,8.175731213,7.693399945666666,7.260494230333333,7.30858528,7.3352687513333334,7.225815691666667,7.092824295,7.062370268,7.095682717666667,6.901295026666666,6.999614828333333,6.993942502333333,6.954870538333334,6.896854572,6.689089009,20.53145321727778
BEL,,,,,,,,,,,,,,,,,,,18.570648136666666,18.616527085,17.379891712333333,18.067709812666667,16.967141238666667,16.840082897333332,16.718656271,15.166188503333332,16.570895794,16.749978665333334,16.648050864000002,16.951234622333335,16.658184231666667,15.602000137666666,15.215435918999999,14.484017344666668,15.078306083333333,14.676462538666668,14.474962761999999,14.236480168,12.721962121333334,14.351396545,22.70565,,,,1.13395,,,,,65.36179,,,,,98.8843,,,,,0.46953,,,,,0.55812,,,,,438.139,,,,,,,20.0568,,,,,125.69167,,,,17.43454,,,,,10.46249,,,,,2.12,154.13,,22.20456611666667,22.407379979999998,21.094123813333333,21.58730706,20.452528463333334,20.797805063333332,20.40792953,18.844325503333334,20.357891589999998,20.6795701,20.633158126666668,21.31373243666667,21.007040806666666,19.709464696666668,19.50069827,18.682022676666666,19.296364136666668,18.477667136666668,18.650431923333333,18.18464867,16.94927387,18.774033408805554
BEN,,,,,,,,,,,,,,,,,,,12.543045858,12.456392552666665,12.607201421333334,12.438994334333332,12.428806468666666,12.362988860333333,12.308889163666668,12.327039710333333,12.619271194333335,12.854587602333334,12.967699018666666,13.040096041666667,12.981350158333335,12.816414776,12.709030924666665,12.771867269666666,12.601884888666667,12.437899162999999,12.301341811666667,12.235924439000001,12.077273225,12.080509179333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.726048845666667,6.647682828,6.873148402666668,6.789510201,6.815252577,6.784629153333333,6.767773477333333,6.790767883333333,7.028404716,7.255332952666667,7.379607357666667,7.444766378,7.429299097,7.343075674666667,7.297873643333333,7.393145954333334,7.319899553333333,7.255866718666667,7.203103653666666,7.223207819999999,6.888918780666667,16.103873122555555
BFA,,,,,,,,,,,,,,,,,,,17.913519836666666,17.867514423,17.401339472333333,17.242547898999998,17.097062187666666,16.913455722,16.883868174,16.718300632,16.885338744333335,17.057181385,17.199120871999998,17.13677853333333,17.596329846333333,17.641872949,17.347953166666667,17.184444617666667,17.095104274333334,16.845922459,16.548850518333335,16.096980742666666,16.33305092666667,16.095124197,,,0.66812,,,,,,,,,,,,,,,0.0,,,,,,,,,0.28712,,0.0,65.294,,,,,,,,,,0.03865,,,,0.63499,,,,,0.01104,,,,,0.02209,,,,,9.084176937666667,9.168358369333333,8.887528367333333,8.802682558999999,8.715568435666667,8.599907962666666,8.589530170333333,8.493571492000001,8.594921344666668,8.672844428333333,8.714976026333334,8.571207068333335,8.968072554666668,9.022253858000001,8.880958871999999,8.859063637333334,8.846687052333333,8.777828315333332,8.656095105333334,8.460649132333334,8.313273774,21.66114871902778
BGD,,,,,,,,,3e-05,,,,,0.05521,,,,,5.184919182333334,5.027900252666666,4.924414191,4.7473128099999995,4.482985081333333,4.573369599333334,4.626190101,4.439887328666667,4.262493256333333,4.197896193333333,3.999273704666667,3.5439165076666668,3.3275727070000003,3.2090312663333336,3.1703954483333336,3.1079347036666665,3.1059767493333332,3.2012333023333333,3.1679529226666663,3.1778557489999995,2.926207311,2.915443988,,,0.31451,,,,,0.04466,,,,,2.23572,,,,,0.43424,,,,,0.00124,,,,0.03474,,231.654,3.785,0.44,,,,0.5,,,,,0.13027,,,,0.87282,,,,,,,,,,0.12407,,,,0.2,4.785604329,4.6511513403333336,4.5518902783333335,4.379152785333333,4.106109386333333,4.226242009666667,4.294355831,4.098929357,3.943169541333333,3.911869377,3.7232618353333335,3.294094511333333,3.120905580666667,3.0269145186666666,3.0135373006666666,2.9734774893333333,2.9895557023333335,3.095151620333333,3.068180137,3.0897953516666665,2.818241684666667,3.699140115055555
BGR,,,,,,,,,,,,,,0.30652,,,5.9353,,14.289876984000001,13.305442440999999,13.229167754,11.43758133,10.727785539000001,9.754346245333332,9.666226564666665,8.733497854,9.302292090666667,8.696673384999999,8.681789113666666,8.078980681333332,9.008684065999999,7.547447544000001,7.341698792666667,6.948175836666667,6.762290744,6.868103629,6.787288667000001,6.202967953333334,6.8109098900000005,6.41029799,,,13.80724,,,,,1.78338,,,,,13.93263,,,,,33.20146,,,,,0.16719,,,,0.30652,,,,1.4,,,,2.7,,,,,7.20317,,,,17.73624,,,,,0.78023,,,,,1.86697,,0.48,16.0,5.7,18.36106848333333,17.458117415,17.487146073,15.109761846333333,14.299450116333333,13.364777066666667,13.435167938666666,12.485581193333333,13.179331754333333,12.428579953333333,12.520289677000001,11.187399282666666,12.760607726666668,10.690562390666665,10.671022929000001,10.057189278000001,9.812855336,10.458126904666667,9.837804224333334,9.127649013000001,10.156071952333333,9.064929022277777
