IndicatorCode,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM
YEAR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CIV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0
CMR,,,,,,,,,,,,,51.0,0.0,2.0,4.0,2.0,13.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,3.0,13.0,33.0,6.0,0.0,9.0,66.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
COD,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
COL,18043.0,16241.0,13331.0,9595.0,15420.0,14818.0,9063.0,9757.0,9353.0,11586.0,7541.0,10941.0,7730.0,6316.0,5855.0,6124.0,6175.0,5685.0,4898.0,6102.0,,,20.0,25.0,34.0,46.0,58.0,7.0,,,23.0,17.0,66.0,44.0,54.0,33.0,54.0,34.0,11.0,9.0,13.0,31.0,21.0,37.0,29.0,15.0,7.0,8.0,7.0,10.0,5.0,7.0,,,0.0,0.0,0.0,1.0,4.0,0.0,,,3.0,
COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
CRI,1676.0,1870.0,1807.0,818.0,2025.0,1143.0,1376.0,1453.0,1950.0,2150.0,1171.0,1148.0,2224.0,1247.0,601.0,528.0,563.0,492.0,668.0,591.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0
CYP,,4.0,0.0,0.0,,,0.0,5.0,0.0,,1.0,0.0,3.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,2.0,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,
CZE,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,
DEU,,,,,,,,,,,,,,,,,,,,,10.0,,,,10.0,9.0,5.0,7.0,6.0,,12.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,4.0,,,,,,
DJI,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,10.0,9.0,34.0,12.0,1.0,9.0,35.0,16.0,37.0,8.0,,,0.0,0.0,3.0,2.0,0.0,1.0,,,1.0,4.0
