IndicatorCode,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,DEVICES00,DEVICES00,DEVICES01,DEVICES01,DEVICES02,DEVICES02,DEVICES02,DEVICES03,DEVICES03,DEVICES03,DEVICES04,DEVICES04,DEVICES04,DEVICES05,DEVICES05,DEVICES05,MDG_0000000010,MDG_0000000011,WHS6_101,WHS6_116
YEAR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2013,2014,2010,2013,2010,2013,2014,2010,2013,2014,2010,2013,2014,2010,2013,2014,2013,2013,2013,2013
BHS,,,,,,,,,,,1.05996,,43.75,39.74837,0.0,0.0,,0.0,0.0,,0.87,0.79497,,0.29,0.26499,,43.2,2.2,42.9,15.9
BIH,,,,,,,,,,,1.01846,,42.82,42.04416,0.0,0.0,,0.03,0.02611,,0.88,0.86177,,0.13,0.13057,,,,,
BLR,,,,,,,,,,,7.44923,,14.98,15.35802,2.79,2.86426,,4.01,4.11471,,2.72,2.78945,,0.53,0.54507,,,,,
BLZ,,25.000833333333333,,,,36.36454545454546,,,,,2.10907,,12.84,12.05182,12.84,12.05182,,1.28,1.20518,,0.32,0.3013,,0.64,0.60259,,,,,
BOL,,,,,,,,,,,1.0683,,14.82,13.79414,9.44,8.78064,,0.84,0.77779,,,,,0.31,0.2905,,31.9,3.5,86.7,4.5
BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,76.7,11.3
BRB,,,,,,,,,,,1.05395,,4.02,3.86448,0.0,0.0,,0.0,0.0,,0.73,0.70263,,0.37,0.35132,,,,,
BRN,,,,,,,,,,,1.43615,,3.51,3.35101,0.5,0.47872,,0.75,0.71807,,0.5,0.47872,,0.25,0.23936,,,,,
BTN,,,,,,,,,,,1.72426,,26.45,25.46598,1.65,1.59162,,1.38,1.32635,,0.28,0.26527,,0.14,0.13264,,,,,
BWA,,,,,,,,,,,1.2864,,,,,,,0.8,0.79163,,0.35,0.34634,,0.15,0.14843,,,,,
CAF,,,,,,,,,,,0.47656,,12.77,12.17394,2.09,1.99289,,0.3,0.2816,,0.11,0.10831,,0.09,0.08665,,,,,
CAN,,,,,,,,,,,2.26822,,,,,,,0.88,0.84987,,1.33,1.2876,,0.14,0.13075,,,,,
CHL,,,,,,,,,,,1.04429,,11.0,10.6869,0.12,0.11919,,0.58,0.56755,,0.13,0.12486,,0.36,0.35188,,,,,
CHN,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,15.5,1.6,13.3,1.4
CIV,,25.0,,,,,36.36318181818182,,,,1.70801,,,,12.18,11.83299,,1.19,1.15672,,0.47,0.45284,,0.1,0.09844,,,,,
CMR,,24.999166666666667,,,36.36363636363637,,,,,,0.79087,,8.43,7.42789,0.72,0.63359,,0.77,0.67404,,0.09,0.07639,,0.05,0.04044,,,,,
COD,,,,,,,,,,,0.44584,,,,,,,0.44,0.42954,,0.02,0.01629,,,,,55.6,2.0,65.4,2.3
COG,,25.0,,,36.36363636363637,,,,,,,,,,,,,,,,,,,,,,21.2,6.5,31.3,11.5
COK,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,33.3,4.5
COL,25.0,,,,,4.545000000000001,,,,,,,,,,,,,,,,,,,,,86.7,,90.7,3.1
COM,,,,,,,,,,,0.68035,,7.08,7.07563,1.63,1.63284,,0.27,0.27214,,0.27,0.27214,,0.14,0.13607,,,,,
CPV,,,,,,,,,,,1.00221,,33.67,33.47384,3.83,3.8084,,0.6,0.60133,,0.0,0.0,,0.4,0.40088,,,,,
CRI,,,,,,,,,,,0.84151,,2.21,2.11405,0.69,0.69784,,0.28,0.26682,,0.24,0.28735,,0.3,0.28735,,,,,
CUB,8.333333333333334,,,,25.0,,,,,,2.04161,,7.53,7.52732,0.64,0.63911,,0.15,0.1509,,1.47,1.46463,,0.43,0.42607,,,,,
CYP,,,,,,,,,,,7.53615,,,,3.44,3.32993,,,,,7.16,6.92274,,0.63,0.61341,,,,,
CZE,,,,,,,,,,,1.28945,,229.33,224.84169,0.16,0.15885,,0.41,0.40179,,0.65,0.63538,,0.26,0.25228,,,,,
DMA,,,,,,,,,,,5.55532,,90.03,84.71869,0.0,0.0,,2.95,2.77766,,2.95,2.77766,,0.0,0.0,,,,,
DNK,,,,,,,,,,,1.0144,,69.93,69.06805,4.52,4.46691,,0.52,0.5161,,0.41,0.40932,,0.09,0.08898,,,,,
DOM,,,,,42.10526315789474,,,,,,,,,,,,,,,,,,,,,,52.0,1.2,65.0,9.4
