IndicatorCode,HEPATITIS_DEATHS_RATE,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_DEATHS_NUM,HEPATITIS_HBV_DIAGNOSED_NUM,HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,HEPATITIS_HBV_INFECTIONS_NEW_NUM,HEPATITIS_HBV_LIVINGWITH_NUM,HEPATITIS_HBV_PREVALENCE_PER100,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_NUM,HEPATITIS_HBV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100,HEPATITIS_HCV_DEATHS_NUM,HEPATITIS_HCV_DIAGNOSED_CRD_NUM,HEPATITIS_HCV_DIAGNOSED_NUM,HEPATITIS_HCV_DIAGNOSIS_PERINFECTED_CRD_PER100,HEPATITIS_HCV_INFECTIONS_NEW_NUM,HEPATITIS_HCV_LIVINGWITH_CRD_NUM,HEPATITIS_HCV_LIVINGWITH_NUM,HEPATITIS_HCV_PREVALENCE_PER100,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_CUM_NUM,HEPATITIS_HCV_TREATMENT_CUM_PERINFECTED_CRD_PER100,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_INITIATED_NUM,HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPB_HBSAG_CARRIER,HEPB_HBSAG_CARRIER,PRISON_D4_HEPB_DIAG_TOT,PRISON_D4_HEPC_DIAG_TOT,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117
YEAR,2022,2021,2022,2023,2022,2022,2022,2022,2022,2022,2021,2022,2023,2021,2022,2023,2021,2022,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2020,2021,2022,2023,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2015,2020,2020,2020,2015,2020,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BHS,9.88,,,,23.0,423.0,7.0,21.0,6437.0,1.6,,,,,,,,,,15.0,4.0,0.0,16.0,998.0,909.0,38.0,37.0,2604.0,2515.0,0.6,,,,,,,,,94.0,4.0,,,,,6.0,9.0,,,,,2.0,1.8,,,0.65,0.545,0.0,21.0,89.0,88.0,93.0,93.0,96.0,93.0,90.0,95.0,98.0,95.0,96.0,97.0,96.0,95.0,94.0,94.0,90.0,89.0,83.0,86.0,87.0,87.0,90.0
BIH,13.96,,,,331.0,3229.0,4.0,168.0,80462.0,2.5,,,,,,,,,,639.0,20.0,1.0,116.0,9562.0,4914.0,34.0,412.0,28468.0,23820.0,0.6,,,,,,,,,4893.0,17.0,,,,,443.0,51.0,,,,,42.5,51.4,11.0,50.0,1.25,1.8699999999999999,0.0,0.0,0.0,0.0,36.0,93.0,90.0,94.0,88.0,90.0,89.0,88.0,92.0,91.0,89.0,82.0,78.0,77.0,80.0,81.0,80.0,79.0,78.0,77.0,82.0
BLR,23.08,91.6,94.4,100.0,1485.0,14390.0,4.0,858.0,374583.0,3.9,99.6,99.2,99.0,0.2,0.2,0.2,,100.0,100.0,694.0,5.0,0.0,645.0,57967.0,48119.0,27.0,3322.0,213514.0,203665.0,2.1,91.3,89.7,93.4,76.5,,79.1,,,10367.0,5.0,100.0,100.0,100.0,100.0,5980.0,18.0,,100.0,100.0,100.0,92.0,449.05,,,1.05,4.89,70.0,93.0,99.0,56.0,99.0,99.0,98.0,91.0,98.0,98.0,96.0,98.0,97.0,98.0,97.0,99.0,96.0,98.0,98.0,97.0,97.0,98.0,98.0,97.0,98.0
BLZ,8.23,,0.0,0.0,17.0,2093.0,44.0,5.0,4711.0,1.2,,63.9,71.6,,0.7,1.0,,0.0,0.0,14.0,1.0,0.0,16.0,255.0,170.0,10.0,37.0,2589.0,2504.0,0.6,,,1.3,,,,,,90.0,3.0,100.0,,100.0,,6.0,35.0,100.0,,,,8.0,6.8,,,2.75,1.99,76.0,96.0,97.0,96.0,97.0,96.0,98.0,96.0,94.0,97.0,96.0,95.0,98.0,95.0,95.0,94.0,95.0,88.0,96.0,98.0,79.0,83.0,84.0,85.0,88.0
BOL,1.46,,,,65.0,4339.0,15.0,207.0,29398.0,0.2,,,,,,,,,,305.0,7.0,1.0,111.0,1078.0,900.0,5.0,292.0,21007.0,20829.0,0.3,,,,,,,,,187.0,1.0,,,,,85.0,17.0,,,,,31.5,35.45,,,0.4,0.365,77.0,77.0,77.0,80.0,84.0,85.0,83.0,84.0,88.0,93.0,91.0,95.0,93.0,87.0,85.0,89.0,87.0,84.0,83.0,75.0,68.0,70.0,69.0,67.0,59.0
BRA,2.64,,,,2578.0,354686.0,34.0,642.0,1038564.0,0.5,,,,,,,,,,41628.0,11.0,4.0,2977.0,248579.0,91133.0,36.0,4028.0,693314.0,535868.0,0.3,,,,,,,,,165733.0,24.0,7.39,,,,16186.0,67.0,10.3,,,,569.5,630.25,,,0.3,0.31,94.0,91.0,92.0,97.0,96.0,98.0,99.0,99.0,96.0,99.0,96.0,98.0,96.0,96.0,96.0,96.0,89.0,82.0,87.0,72.0,77.0,68.0,77.0,90.0,90.0
BRB,9.55,,,,16.0,290.0,7.0,14.0,4422.0,1.6,,,83.6,,,0.2,,,,11.0,4.0,0.0,11.0,686.0,624.0,39.0,25.0,1781.0,1718.0,0.6,82.1,34.0,79.7,62.9,0.0,,,,66.0,4.0,0.0,,0.0,0.0,4.0,10.0,0.0,,,,1.5,1.5,,,0.65,0.61,0.0,18.0,66.0,91.0,93.0,92.0,84.0,93.0,85.0,93.0,86.0,91.0,87.0,91.0,94.0,97.0,97.0,90.0,95.0,90.0,85.0,82.0,86.0,85.0,94.0
BRN,15.3,,,,43.0,4252.0,,1.0,6074.0,1.4,,100.0,100.0,,0.2,0.2,,,,1184.0,28.0,19.0,26.0,2197.0,1135.0,92.0,9.0,2380.0,1318.0,0.3,,,,,,,,,1118.0,47.0,,,,0.0,83.0,51.0,,,,,5.0,5.1,,,1.2999999999999998,1.215,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,96.0,96.0,96.0,93.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
BTN,5.51,,,100.0,34.0,1132.0,10.0,14.0,11774.0,1.6,,100.0,99.9,,0.67,0.5,,,100.0,100.0,9.0,1.0,9.0,383.0,271.0,20.0,43.0,1959.0,1847.0,0.2,,,,,,,,,118.0,6.0,,,,,2.0,31.0,,,,,17.5,12.850000000000001,,,2.55,1.73,98.0,89.0,83.0,95.0,89.0,95.0,95.0,95.0,96.0,93.0,91.0,95.0,97.0,97.0,99.0,99.0,98.0,98.0,97.0,97.0,96.0,98.0,98.0,99.0,98.0
BWA,51.6,,,,1165.0,22965.0,16.0,645.0,146254.0,5.6,,,,,,,,,,204.0,1.0,0.0,94.0,2560.0,2488.0,24.0,145.0,10762.0,10690.0,0.4,,,,,,,,,75.0,1.0,,,,,11.0,3.0,,,,,16.0,9.65,,,0.75,0.49,86.0,87.0,88.0,90.0,91.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,86.0,95.0,95.0
