IndicatorCode,HEPATITIS_DEATHS_RATE,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_DEATHS_NUM,HEPATITIS_HBV_DIAGNOSED_NUM,HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,HEPATITIS_HBV_INFECTIONS_NEW_NUM,HEPATITIS_HBV_LIVINGWITH_NUM,HEPATITIS_HBV_PREVALENCE_PER100,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_NUM,HEPATITIS_HBV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100,HEPATITIS_HCV_DEATHS_NUM,HEPATITIS_HCV_DIAGNOSED_CRD_NUM,HEPATITIS_HCV_DIAGNOSED_NUM,HEPATITIS_HCV_DIAGNOSIS_PERINFECTED_CRD_PER100,HEPATITIS_HCV_INFECTIONS_NEW_NUM,HEPATITIS_HCV_LIVINGWITH_CRD_NUM,HEPATITIS_HCV_LIVINGWITH_NUM,HEPATITIS_HCV_PREVALENCE_PER100,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_CUM_NUM,HEPATITIS_HCV_TREATMENT_CUM_PERINFECTED_CRD_PER100,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_INITIATED_NUM,HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPB_HBSAG_CARRIER,HEPB_HBSAG_CARRIER,PRISON_D4_HEPB_DIAG_TOT,PRISON_D4_HEPC_DIAG_TOT,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117
YEAR,2022,2021,2022,2023,2022,2022,2022,2022,2022,2022,2021,2022,2023,2021,2022,2023,2021,2022,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2020,2021,2022,2023,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2015,2020,2020,2020,2015,2020,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,0.5,,,,,,,,,,,,,,,,,,,,,18.5,22.25,,,0.5,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,94.0,92.0,92.0,93.0,93.0,91.0,90.0,90.0,92.0,91.0
HTI,8.52,,,,526.0,12650.0,6.0,1498.0,217325.0,1.9,,,,,,,,,,120.0,1.0,0.0,453.0,28130.0,25673.0,38.0,1048.0,73908.0,71450.0,0.6,,,,,,,,,2587.0,4.0,,,,,180.0,9.0,,,,,177.0,194.4,,,2.55,2.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,63.0,64.0,59.0,57.0,56.0,54.0,58.0,48.0,48.0,54.0,60.0
HUN,,,,,,,,,,,,,,,,,,,,1440.0,,,,,22118.0,,,,17984.0,0.2,,,,,,,,,22118.0,,,,,,1175.0,,,,,,23.0,52.65,3.0,131.0,0.45,0.9750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,23.98,,,10.6,60535.0,528024.0,3.0,158563.0,17544081.0,6.4,61.5,66.4,84.4,1.6,1.6,1.5,,,85.7,21468.0,4.0,0.0,6322.0,190022.0,177981.0,14.0,39134.0,1404685.0,1392645.0,0.5,,,2.4,0.3,,,,,12674.0,1.0,,,83.3,97.0,1625.0,7.0,,,,,3266.0,8461.7,,,1.75,3.685,65.0,62.0,63.0,64.0,64.0,65.0,66.0,76.0,82.0,82.0,83.0,81.0,85.0,90.0,88.0,84.0,84.0,85.0,85.0,85.0,77.0,67.0,91.0,83.0,78.0
IND,8.74,,,,,,,,,,,,39.6,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11133.5,12516.6,,,1.1,0.98,0.0,0.0,0.0,0.0,6.0,8.0,6.0,6.0,29.0,37.0,38.0,44.0,70.0,67.0,77.0,87.0,88.0,89.0,90.0,91.0,85.0,85.0,93.0,91.0,94.0
IRL,,,,,,12500.0,57.0,,22000.0,0.4,,,,,,,,,,1698.0,14.0,8.0,,,13600.0,,,,7844.0,0.2,,,,,,,,,8200.0,,,,,,535.0,,,,,,1.0,5.8999999999999995,,,0.0,0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,94.0,93.0,93.0,93.0,92.0
IRN,7.52,,,,6367.0,366852.0,28.0,334.0,1321313.0,1.5,45.6,,,0.4,,,,,,24867.0,7.0,2.0,361.0,109290.0,77799.0,46.0,6780.0,236870.0,205380.0,0.2,,,,8.8,,,,34.4,33148.0,14.0,,,,,2978.0,30.0,,,,,58.5,523.35,,,0.1,0.645,99.0,94.0,99.0,98.0,95.0,94.0,98.0,97.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0
IRQ,8.36,,,,3370.0,7080.0,1.0,8241.0,1310122.0,2.9,,,,,,,,,,26289.0,100.0,2.0,316.0,21354.0,12118.0,14.0,4733.0,156491.0,147255.0,0.3,,,,,,,,,9722.0,6.0,,,,,629.0,46.0,,,,,26.0,310.3,,,0.1,0.895,67.0,66.0,65.0,63.0,62.0,65.0,59.0,56.0,66.0,75.0,72.0,78.0,65.0,68.0,69.0,68.0,71.0,81.0,86.0,84.0,74.0,78.0,93.0,91.0,90.0
ISL,1.99,,,,8.0,903.0,52.0,1.0,1738.0,0.5,,,,,,,,,,162.0,18.0,9.0,0.0,2116.0,1142.0,100.0,42.0,1253.0,279.0,0.1,,,,,,,,,1025.0,82.0,,,,,65.0,48.0,,,,,1.5,0.3,,,0.9,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,10.31,,,,646.0,24245.0,19.0,169.0,130671.0,1.4,,,,,,,,,,1599.0,7.0,1.0,340.0,37116.0,23073.0,54.0,156.0,68734.0,54692.0,0.7,,,,,,,,,14782.0,22.0,,,,,1782.0,40.0,,,,,51.0,43.800000000000004,,,0.85,0.53,98.0,96.0,98.0,98.0,99.0,96.0,96.0,99.0,99.0,98.0,97.0,98.0,97.0,97.0,97.0,96.0,95.0,97.0,96.0,97.0,96.0,96.0,96.0,96.0,96.0
ITA,,,,,,,0.0,,303000.0,0.5,,,,,,,,,,,,0.0,,,,,,,398610.0,0.7,,,,,,,,,244981.0,,,,,,13102.0,,,,,,507.0,466.4,,,1.15,0.93,94.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,93.0,93.0,94.0,95.0,95.0,94.0,94.0,95.0,95.0,94.0
JAM,17.83,,,,396.0,1541.0,1.0,167.0,107261.0,3.8,,,,,,,,,,257.0,17.0,0.0,111.0,6891.0,6266.0,39.0,256.0,17844.0,17219.0,0.6,,,,,,,,,659.0,4.0,,,,,44.0,10.0,,,,,6.5,44.75,,,0.35,1.7650000000000001,0.0,0.0,0.0,36.0,98.0,99.0,97.0,92.0,92.0,90.0,94.0,92.0,96.0,93.0,92.0,91.0,98.0,93.0,97.0,96.0,95.0,89.0,98.0,99.0,99.0
JOR,6.43,,,,624.0,2913.0,1.0,472.0,199009.0,1.8,,,,,,,,,,940.0,32.0,0.0,100.0,6335.0,3883.0,22.0,575.0,29239.0,26787.0,0.2,0.0,,,,0.0,,,,2582.0,9.0,0.0,,,,157.0,41.0,0.0,,,,103.5,129.04999999999998,,,1.8,1.5150000000000001,93.0,97.0,95.0,97.0,95.0,95.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,98.0,99.0,96.0,89.0,77.0,85.0,92.0,96.0,96.0
JPN,11.18,,,,3391.0,585323.0,62.0,152.0,949057.0,0.8,,,,,,,,,,187775.0,32.0,20.0,10599.0,802961.0,472496.0,100.0,1368.0,778615.0,448150.0,0.4,,,,,,,,,347858.0,45.0,,,,,9285.0,43.0,,,,,1295.0,727.1,,,2.0,1.0350000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,92.0,96.0,96.0,95.0,95.0
KAZ,13.83,,,,1528.0,52191.0,12.0,956.0,448360.0,2.3,,,,,,,,,,3167.0,6.0,1.0,1243.0,71008.0,27412.0,17.0,7359.0,426777.0,383180.0,2.0,86.3,76.7,73.8,88.8,92.8,68.9,45.7,70.1,45891.0,11.0,55.3,29.5,10.4,22.3,7731.0,65.0,,30.3,9.5,21.9,140.5,312.79999999999995,,,0.9,1.7349999999999999,99.0,95.0,95.0,99.0,99.0,94.0,99.0,94.0,99.0,99.0,99.0,99.0,95.0,99.0,95.0,98.0,83.0,99.0,98.0,97.0,88.0,95.0,99.0,97.0,98.0
KEN,23.35,,,,11498.0,5804.0,0.0,11518.0,2360984.0,4.4,,,,,,,,,,1714.0,30.0,0.0,1172.0,55811.0,34839.0,11.0,16002.0,497450.0,476477.0,0.9,,,,,,,,,22076.0,4.0,,,,,7274.0,40.0,,,,,531.0,460.2,,,1.55,1.03,0.0,0.0,84.0,73.0,73.0,76.0,80.0,81.0,88.0,88.0,90.0,96.0,94.0,87.0,92.0,89.0,88.0,81.0,91.0,93.0,93.0,95.0,94.0,93.0,91.0
KGZ,25.53,,,,1176.0,55347.0,16.0,730.0,349644.0,5.3,,,,,,,,,,1117.0,2.0,0.0,605.0,37577.0,30738.0,21.0,4103.0,177663.0,170824.0,2.5,10.2,7.7,81.6,77.2,46.9,54.2,73.8,70.5,7199.0,4.0,8.4,52.6,0.0,20.2,448.0,19.0,,25.3,0.0,26.5,102.5,121.2,,,1.95,1.925,44.0,57.0,99.0,99.0,99.0,97.0,90.0,94.0,97.0,96.0,96.0,96.0,96.0,97.0,96.0,97.0,96.0,92.0,94.0,95.0,86.0,89.0,90.0,87.0,84.0
KHM,13.63,,36.0,43.3,1310.0,26480.0,5.0,888.0,496539.0,3.0,,73.2,99.7,,2.8,2.4,,21.8,53.8,1477.0,6.0,0.0,1034.0,47515.0,24516.0,23.0,4625.0,206158.0,183160.0,1.2,,,,,,,,,24209.0,12.0,,,,1.4,1953.0,51.0,,,,,237.0,344.59999999999997,,,1.8,2.145,0.0,0.0,0.0,0.0,0.0,0.0,80.0,82.0,91.0,92.0,91.0,91.0,91.0,86.0,90.0,91.0,91.0,90.0,89.0,88.0,86.0,86.0,84.0,84.0,83.0
KIR,41.25,,,,48.0,78.0,,39.0,10504.0,8.0,,,,,,,,,,0.0,0.0,0.0,6.0,131.0,131.0,11.0,34.0,1216.0,1216.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,9.5,9.549999999999999,,,9.45,8.715,90.0,85.0,79.0,73.0,67.0,50.0,88.0,96.0,83.0,86.0,91.0,95.0,94.0,95.0,75.0,82.0,81.0,90.0,95.0,97.0,92.0,90.0,91.0,90.0,94.0
KNA,10.13,,0.0,0.0,3.0,50.0,7.0,2.0,748.0,1.6,100.0,100.0,100.0,0.0,0.8,0.8,,100.0,100.0,2.0,5.0,0.0,2.0,118.0,111.0,38.0,5.0,306.0,299.0,0.6,,,,,,,,,7.0,2.0,,,,,0.0,6.0,,,,,0.0,0.25,,,0.75,0.47,99.0,99.0,96.0,99.0,96.0,99.0,99.0,99.0,98.0,97.0,96.0,98.0,98.0,97.0,98.0,94.0,98.0,98.0,98.0,97.0,99.0,96.0,96.0,97.0,97.0
KOR,15.78,,,,7225.0,1156952.0,83.0,189.0,1395575.0,2.7,,,,,,,,,,292644.0,25.0,21.0,931.0,86370.0,20098.0,56.0,1910.0,155188.0,88916.0,0.2,,,,,,,,,69760.0,45.0,,,,,4771.0,81.0,,,,,801.5,738.5,,,1.9500000000000002,1.4849999999999999,93.0,89.0,92.0,91.0,92.0,99.0,99.0,91.0,94.0,94.0,94.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0
KWT,10.23,,,,391.0,7488.0,11.0,26.0,65455.0,1.5,,,,,,,,,,1779.0,24.0,3.0,78.0,8161.0,6011.0,38.0,480.0,21362.0,19212.0,0.5,,,,,,,,,2264.0,11.0,,,,,222.0,28.0,,,,,16.5,13.8,,,0.5,0.335,95.0,99.0,99.0,99.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,96.0,99.0,99.0,99.0,91.0,92.0,93.0,94.0,96.0,99.0,99.0
LAO,9.78,,,,529.0,11584.0,4.0,961.0,260495.0,3.5,,,,,,,,,,173.0,1.0,0.0,210.0,7377.0,5624.0,17.0,971.0,43641.0,41888.0,0.6,,,,,,,,,1845.0,4.0,,,,,216.0,25.0,,,,,171.5,163.75,,,3.3499999999999996,2.5549999999999997,0.0,0.0,0.0,50.0,45.0,49.0,57.0,50.0,61.0,67.0,74.0,76.0,77.0,83.0,83.0,82.0,82.0,78.0,75.0,66.0,61.0,65.0,70.0,74.0,67.0
LBN,5.24,,,,276.0,7552.0,11.0,95.0,71615.0,1.3,,,,,,,,,,734.0,10.0,1.0,25.0,2694.0,1342.0,30.0,228.0,9017.0,7665.0,0.1,,,,,,,,,1424.0,16.0,,,,,98.0,53.0,,,,,39.0,36.5,,,0.75,0.5650000000000001,83.0,80.0,77.0,74.0,75.0,77.0,78.0,80.0,81.0,81.0,81.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,68.0,64.0,64.0,50.0,46.0
LBR,19.85,,,,899.0,1740.0,1.0,1996.0,228492.0,4.3,,,,,,,,,,82.0,5.0,0.0,168.0,3465.0,2950.0,9.0,876.0,40134.0,39618.0,0.7,,,,,,,,,543.0,1.0,,,,,59.0,16.0,,,,,362.5,359.1,,,11.35,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,81.0,70.0,77.0,80.0,80.0,63.0,65.0,73.0,80.0,81.0,71.0,66.0,67.0,79.0,83.0,83.0
LBY,7.99,,,,426.0,13266.0,11.0,232.0,111125.0,1.6,,,,,,,,,,3214.0,25.0,3.0,151.0,49531.0,45995.0,75.0,2803.0,65807.0,62271.0,1.4,,,,,,,,,3722.0,6.0,,,,,3722.0,8.0,,,,,59.0,64.0,,,1.05,1.125,92.0,93.0,91.0,96.0,99.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,94.0,97.0,97.0,97.0,73.0,73.0,73.0,73.0,73.0,73.0,86.0
LCA,9.63,,,,10.0,185.0,7.0,9.0,2824.0,1.6,,,100.0,,,0.0,,,50.0,7.0,4.0,0.0,7.0,438.0,399.0,39.0,16.0,1138.0,1098.0,0.6,,,,,,,,,42.0,4.0,,0.0,,,3.0,10.0,,0.0,,,1.0,1.25,,,0.8500000000000001,0.79,0.0,0.0,14.0,84.0,91.0,95.0,85.0,99.0,96.0,95.0,97.0,99.0,98.0,99.0,99.0,99.0,95.0,80.0,95.0,92.0,86.0,80.0,81.0,74.0,99.0
LKA,11.18,,,,1869.0,35768.0,7.0,1491.0,485573.0,2.2,,,,,,,,,,34.0,0.0,0.0,610.0,21571.0,16306.0,17.0,2814.0,125400.0,120135.0,0.6,45.5,0.5,,0.1,,,,0.0,5542.0,4.0,,100.0,,0.0,627.0,26.0,,,,0.0,216.5,219.05,,,1.3,1.18,0.0,0.0,0.0,32.0,62.0,99.0,98.0,98.0,98.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,98.0,99.0,97.0
LSO,59.11,,,,1269.0,38050.0,16.0,1048.0,242317.0,10.5,,,,,,,,,,57.0,0.0,0.0,82.0,2245.0,2181.0,24.0,127.0,9375.0,9312.0,0.4,,,,,,,,,67.0,1.0,,,,,10.0,3.0,,,,,50.5,63.3,,,3.05,3.4899999999999998,0.0,0.0,0.0,17.0,60.0,87.0,91.0,90.0,88.0,91.0,93.0,96.0,95.0,93.0,88.0,83.0,87.0,89.0,90.0,92.0,93.0,95.0,92.0,90.0,86.0
LTU,,,,,,79.0,,,,,,,,,,,,,,,0.0,,,,1124.0,,,,22410.0,0.8,,,,,,,,,,,,,,,,,,,,,23.0,18.150000000000002,,,0.9,0.6900000000000001,98.0,95.0,94.0,95.0,94.0,95.0,95.0,96.0,96.0,95.0,94.0,95.0,93.0,93.0,94.0,94.0,95.0,94.0,93.0,92.0,91.0,90.0,90.0,90.0,87.0
LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243.0,0.2,,,,,,,,,,,,,,,,,,,,,2.0,1.05,13.0,82.0,0.44999999999999996,0.195,77.0,86.0,95.0,95.0,94.0,95.0,95.0,87.0,94.0,95.0,94.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,96.0,96.0,96.0,96.0,97.0,98.0,98.0
LVA,,,,,,,,,,,,,,,,,,,,,,,,,30000.0,,,,30000.0,1.6,,,,,,,,,11550.0,,,,,,1125.0,,,,,,14.0,12.35,42.0,1038.0,1.0,0.785,95.0,96.0,98.0,98.0,98.0,99.0,94.0,91.0,93.0,92.0,91.0,89.0,90.0,94.0,92.0,94.0,98.0,98.0,96.0,99.0,99.0,94.0,95.0,97.0,99.0
MAR,3.0,,,,555.0,91901.0,41.0,187.0,223645.0,0.6,,,,,,,,,,6502.0,7.0,3.0,565.0,32664.0,23085.0,24.0,3416.0,135145.0,125566.0,0.3,,,,,,,,,10083.0,7.0,,,,,833.0,31.0,,,,,269.0,254.6,,,1.0,0.765,43.0,84.0,92.0,90.0,95.0,96.0,95.0,95.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,96.0
MCO,4.28,,,,1.0,53.0,31.0,0.0,172.0,0.5,,,,,,,,,,16.0,30.0,9.0,1.0,125.0,54.0,69.0,1.0,180.0,110.0,0.3,,,,,,,,,74.0,41.0,,,,,5.0,59.0,,,,,0.0,0.15,,0.0,0.4,0.5,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
MDA,84.43,,,,1913.0,19999.0,7.0,270.0,294803.0,9.0,,,,,,,,,,28.0,0.0,0.0,221.0,22820.0,19608.0,30.0,1626.0,76887.0,73675.0,2.1,62.3,75.6,69.2,75.8,65.2,69.8,76.1,87.2,3381.0,4.0,,,,,572.0,15.0,,,,,100.0,96.65,94.0,233.0,2.8000000000000003,2.49,92.0,94.0,99.0,99.0,99.0,99.0,98.0,95.0,97.0,89.0,98.0,96.0,94.0,91.0,92.0,88.0,91.0,89.0,94.0,94.0,87.0,87.0,90.0,88.0,88.0
MDG,21.13,,,,5631.0,3191.0,0.0,4087.0,1131542.0,6.4,,,,,,,,,,5989.0,100.0,1.0,799.0,9007.0,6539.0,8.0,2329.0,114296.0,111828.0,0.4,,,,,,,,,2598.0,2.0,,,,,435.0,29.0,,,,,1070.5,931.7,,,6.3,4.27,0.0,0.0,51.0,61.0,71.0,81.0,82.0,84.0,77.0,77.0,70.0,73.0,68.0,70.0,68.0,62.0,68.0,65.0,74.0,69.0,67.0,55.0,57.0,65.0,60.0
MDV,22.33,,,,102.0,3185.0,12.0,175.0,27324.0,5.2,,,,,,,,,,103.0,3.0,0.0,15.0,512.0,391.0,17.0,68.0,2980.0,2859.0,0.6,,,,,,,,,127.0,4.0,,,,,15.0,25.0,,,,,2.5,6.1499999999999995,,,0.7999999999999999,1.23,96.0,98.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,95.0,98.0,98.0,99.0
MEX,12.27,,,,3927.0,13376.0,11.0,188.0,117412.0,0.1,,,,,,,,,,1124.0,8.0,1.0,11851.0,109753.0,84312.0,16.0,5736.0,703699.0,678258.0,0.5,,,34.5,29.6,,,,,26780.0,4.0,,88.5,73.1,77.3,1600.0,24.0,,,,63.9,177.0,473.3,,,0.15,0.38,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,97.0,95.0,93.0,98.0,99.0,79.0,84.0,76.0,82.0,58.0,55.0,56.0,77.0,80.0,83.0,85.0,78.0
MHL,23.72,,,,8.0,1153.0,,8.0,2024.0,4.9,,,,,,,,,,3.0,0.0,0.0,1.0,40.0,40.0,10.0,11.0,415.0,415.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,2.5,1.85,,,5.2,3.3299999999999996,38.0,76.0,80.0,74.0,72.0,89.0,97.0,93.0,97.0,99.0,97.0,89.0,80.0,80.0,79.0,85.0,73.0,82.0,84.0,82.0,86.0,89.0,87.0,89.0,89.0
MKD,11.38,,,,133.0,8257.0,23.0,48.0,35851.0,1.7,,,,,,,,,,554.0,7.0,2.0,75.0,6079.0,3182.0,33.0,267.0,18370.0,15473.0,0.6,,,,,,,,,3050.0,17.0,,,,,287.0,50.0,,,,,20.0,30.0,,,1.05,1.475,0.0,0.0,0.0,0.0,0.0,53.0,89.0,96.0,97.0,95.0,90.0,96.0,98.0,97.0,97.0,92.0,94.0,91.0,92.0,92.0,84.0,79.0,84.0,86.0,91.0
MLI,30.2,,,,6252.0,68130.0,4.0,12432.0,1581973.0,13.9,1.1,1.2,1.4,7.4,8.6,4.8,,,,3476.0,5.0,0.0,715.0,14686.0,12568.0,9.0,3733.0,172436.0,170319.0,0.7,,,,,,,,,2229.0,1.0,,,,,252.0,15.0,,,,,831.5,1177.25,,,6.7,7.710000000000001,0.0,0.0,0.0,79.0,73.0,83.0,90.0,74.0,74.0,71.0,72.0,66.0,65.0,64.0,66.0,70.0,76.0,77.0,76.0,77.0,70.0,77.0,75.0,75.0,82.0
MLT,,,,,,28000.0,,,,,,,,,,,,,,,0.0,,,,1336.0,,,,694.0,0.1,,,,,,,,,519.0,,,,,,127.0,,,,,,2.5,2.65,27.0,61.0,0.8500000000000001,0.695,0.0,0.0,0.0,89.0,85.0,85.0,86.0,82.0,86.0,86.0,75.0,82.0,93.0,94.0,90.0,95.0,97.0,88.0,98.0,98.0,98.0,99.0,98.0,98.0,97.0
MMR,20.16,,,,,,,,,,,3.2,3.3,,3.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173.0,1452.7,,,3.1,3.18,0.0,0.0,0.0,8.0,39.0,62.0,75.0,85.0,85.0,91.0,92.0,40.0,58.0,75.0,88.0,89.0,90.0,89.0,91.0,90.0,84.0,37.0,71.0,71.0,71.0
MNE,10.23,,,,41.0,2134.0,23.0,6.0,9264.0,1.5,,,,,,,,,,145.0,7.0,2.0,23.0,1819.0,953.0,33.0,80.0,5514.0,4648.0,0.6,,,,,,,,,912.0,17.0,,,,,86.0,50.0,,,,,4.5,9.95,,,1.2999999999999998,1.905,,,,,,,90.0,90.0,93.0,87.0,90.0,91.0,90.0,90.0,87.0,82.0,75.0,73.0,72.0,68.0,52.0,51.0,45.0,42.0,61.0
MNG,41.93,,,,677.0,87949.0,46.0,316.0,193155.0,5.7,94.6,97.3,98.6,1.7,2.0,1.5,,,,4701.0,5.0,2.0,763.0,186481.0,124886.0,98.0,1939.0,190095.0,128501.0,3.7,2.7,4.8,5.3,4.3,,,0.0,0.0,64836.0,34.0,0.0,0.0,0.0,0.0,2123.0,35.0,0.0,0.0,0.0,0.0,163.0,154.95,,,6.25,4.9350000000000005,93.0,95.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,97.0,96.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,95.0,95.0,96.0,96.0
MOZ,26.99,,,,7878.0,244098.0,12.0,13807.0,2034837.0,6.2,,,,,,,,,,62000.0,25.0,3.0,938.0,10156.0,9704.0,4.0,3439.0,242892.0,242440.0,0.7,,,,,,,,,476.0,0.0,,,,,21.0,5.0,,,,,1101.0,321.6,,,5.45,1.275,0.0,25.0,76.0,76.0,76.0,75.0,75.0,75.0,75.0,74.0,74.0,77.0,80.0,82.0,85.0,85.0,85.0,85.0,85.0,85.0,71.0,56.0,55.0,70.0,70.0
MRT,41.15,,,,1856.0,1969.0,0.0,1938.0,433528.0,9.2,,,,,,,,,,143.0,7.0,0.0,150.0,3087.0,2635.0,9.0,782.0,36009.0,35557.0,0.7,,,,,,,,,476.0,1.0,,,,,53.0,15.0,,,,,221.0,267.8,,,7.25,7.185,0.0,0.0,0.0,0.0,0.0,42.0,68.0,74.0,74.0,64.0,64.0,75.0,80.0,80.0,81.0,73.0,74.0,76.0,77.0,80.0,81.0,77.0,85.0,90.0,86.0
MUS,22.94,0.0,,,253.0,7901.0,12.0,433.0,67789.0,5.2,100.0,,,0.0,,,0.0,,,256.0,3.0,0.0,36.0,1286.0,971.0,17.0,167.0,7452.0,7136.0,0.6,77.6,76.0,79.2,,100.0,88.5,84.0,,332.0,4.0,25.0,35.0,14.6,,37.0,26.0,25.0,,28.0,,11.5,13.1,,,1.25,1.225,88.0,92.0,88.0,97.0,98.0,97.0,97.0,97.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,72.0,96.0,97.0,97.0,96.0,94.0,95.0,96.0,93.0
