IndicatorCode,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,UHC_AVAILABILITY_SCORE,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH
MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.987800541888888,,,,,,,18.487153521777778,15.973601284111112,13.762385468555555,14.0657890175,,15.66321785145,,19.1576488077,,19.691907799400003,,31.78801993135,27.160275176062502,25.514514459555553,26.419989837444444,,85.0,62.0,62.0,62.0,62.0,63.0,63.0,64.0,65.0,66.0,67.0,67.0,68.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,71.0,71.0,70.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,88.0,92.0,91.0,95.0,95.0,95.0,95.0,94.0,95.0,92.0,90.0,87.0,43.0,44.0,44.0,45.0,47.0,48.0,50.0,51.0,53.0,54.0,56.0,57.0,58.0,59.0,61.0,62.0,63.0,65.0,66.0,67.0,69.0,70.0,71.0,72.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,74.0,74.0,74.0,73.0,72.0,71.0,73.0,73.0,75.0,76.0,78.0,77.0,75.0,74.0,72.0,73.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,76.0
MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.775287714818184,,,,,,29.2799451755,,,,,,34.3914157301,,,,,25.59545802775,,,,,,86.0,23.0,23.0,23.0,23.0,24.0,26.0,27.0,30.0,33.0,33.0,33.0,37.0,37.0,38.0,41.0,45.0,43.0,46.0,46.0,46.0,48.0,47.0,49.0,50.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,21.0,21.0,22.0,27.0,27.0,27.0,28.0,36.0,30.0,30.0,28.0,28.0,30.0,30.0,40.0,35.0,7.0,7.0,6.0,6.0,7.0,9.0,11.0,15.0,20.0,21.0,21.0,25.0,25.0,27.0,33.0,36.0,36.0,45.0,45.0,44.0,49.0,45.0,40.0,46.0,40.0,41.0,42.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,61.0,61.0,61.0,62.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,55.0,53.0,51.0,52.0,53.0,55.0,56.0,57.0,58.0,59.0,60.0,60.0,60.0,61.0,63.0
MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,23.0,23.0,23.0,24.0,24.0,24.0,26.0,26.0,27.0,30.0,33.0,31.0,29.0,29.0,29.0,31.0,32.0,39.0,41.0,38.0,38.0,39.0,35.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0,22.0,23.0,24.0,23.0,24.0,25.0,23.0,26.0,26.0,28.0,31.0,27.0,8.0,8.0,7.0,8.0,8.0,8.0,10.0,10.0,11.0,17.0,23.0,19.0,13.0,12.0,13.0,17.0,18.0,38.0,47.0,32.0,31.0,29.0,17.0,35.0,52.0,53.0,54.0,54.0,55.0,56.0,56.0,57.0,58.0,58.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,64.0,64.0,64.0,64.0,65.0,65.0,35.0,37.0,38.0,38.0,38.0,39.0,40.0,41.0,41.0,40.0,41.0,42.0,41.0,40.0,40.0,37.0,38.0,38.0,39.0,40.0,41.0,41.0,42.0,43.0
MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.799957341777779,,,,,,,,,,7.952865795636364,,,,,,11.59385994776923,,,,,9.69703603975,,,,,,12.45576135311111,,62.0,67.0,67.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,72.0,74.0,74.0,75.0,76.0,76.0,77.0,77.0,76.0,75.0,75.0,67.0,67.0,67.0,67.0,76.0,74.0,72.0,70.0,70.0,71.0,71.0,73.0,73.0,75.0,83.0,83.0,85.0,87.0,84.0,86.0,86.0,80.0,77.0,72.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0,55.0,55.0,56.0,57.0,57.0,58.0,59.0,59.0,60.0,60.0,61.0,62.0,62.0,63.0,64.0,65.0,65.0,66.0,66.0,67.0,67.0,68.0,68.0,68.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,62.0,61.0,61.0,61.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,65.0,65.0
MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.89565717890909,,,,,,33.400996273000004,,,51.67634909953333,,,33.8570224881,,,35.97490063605,,,,,,79.0,25.0,23.0,20.0,22.0,23.0,24.0,33.0,35.0,38.0,41.0,41.0,40.0,45.0,46.0,45.0,45.0,50.0,52.0,54.0,55.0,52.0,55.0,53.0,52.0,34.0,34.0,34.0,34.0,34.0,32.0,31.0,29.0,27.0,29.0,29.0,28.0,26.0,24.0,23.0,25.0,27.0,30.0,29.0,29.0,33.0,34.0,32.0,35.0,6.0,4.0,2.0,3.0,4.0,4.0,12.0,17.0,22.0,25.0,26.0,23.0,37.0,43.0,41.0,34.0,46.0,47.0,58.0,57.0,44.0,49.0,46.0,40.0,47.0,48.0,49.0,51.0,52.0,53.0,55.0,56.0,57.0,58.0,60.0,61.0,62.0,64.0,65.0,66.0,68.0,69.0,70.0,71.0,72.0,72.0,73.0,73.0,37.0,40.0,40.0,42.0,44.0,46.0,55.0,57.0,60.0,63.0,66.0,67.0,67.0,68.0,69.0,71.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,74.0
MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.238933051,,,85.0,71.0,71.0,72.0,72.0,73.0,74.0,74.0,75.0,75.0,76.0,77.0,78.0,78.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,79.0,80.0,80.0,75.0,75.0,76.0,77.0,78.0,80.0,81.0,81.0,83.0,85.0,87.0,92.0,94.0,97.0,97.0,97.0,98.0,98.0,97.0,97.0,95.0,95.0,96.0,96.0,92.0,92.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,52.0,53.0,54.0,55.0,56.0,57.0,57.0,58.0,59.0,60.0,60.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,71.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,70.0,70.0,70.0,70.0
NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.83232309468421,,,,,,24.286686990526317,,,,,,,,,,43.0,49.0,50.0,50.0,49.0,53.0,55.0,56.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,59.0,60.0,60.0,58.0,60.0,61.0,61.0,65.0,66.0,73.0,73.0,73.0,73.0,73.0,72.0,71.0,71.0,70.0,69.0,67.0,66.0,65.0,63.0,64.0,66.0,70.0,69.0,59.0,64.0,65.0,67.0,86.0,87.0,21.0,21.0,21.0,18.0,24.0,27.0,29.0,31.0,32.0,32.0,33.0,34.0,35.0,36.0,36.0,37.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,41.0,62.0,63.0,63.0,64.0,64.0,65.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,63.0,65.0,66.0,68.0,70.0,72.0,73.0,75.0,75.0,74.0,74.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,76.0,76.0,75.0,75.0
NC,1.8374649913999999,1.6335256166,1.8055232634,1.9568468656,1.982513371,1.9900232552,1.8251101182,1.8620878051999998,1.9010601140000003,1.9586111266,1.8002027032,1.8102095532,1.9775377351999999,1.9940927095999998,1.9762475078000001,1.9142248631999998,2.0740730102000002,2.0473250984,1.9393786062,1.9696150304,1.9131113148,1.9397628055999998,1.9368662382,,,,,,,,,,,,,,,5.8747490288,5.188162576,5.7003712558,6.1500251166,6.207270655,6.2096667478,5.673761685200001,5.763614785,5.8595632186,6.0129913492,5.5090458318,5.521687709,6.003271891,6.024973321199999,5.950473458399999,5.7489647642,6.2116164417999995,6.1127845164000005,5.779354446,5.864398779,5.6957875228,5.7940066552,5.8149606538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.29236960421053,,64.93685214081819,,,,49.81560042329412,,,,,,,50.37250289913333,,,33.389785939999996,,,,93.0,19.0,19.0,18.0,18.0,19.0,22.0,28.0,28.0,27.0,29.0,31.0,32.0,31.0,30.0,33.0,34.0,36.0,35.0,35.0,35.0,32.0,36.0,37.0,39.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,17.0,17.0,19.0,20.0,20.0,20.0,18.0,19.0,16.0,19.0,15.0,14.0,14.0,9.0,14.0,15.0,19.0,5.0,4.0,4.0,4.0,4.0,7.0,16.0,16.0,13.0,15.0,18.0,19.0,16.0,14.0,19.0,26.0,27.0,29.0,31.0,31.0,34.0,34.0,36.0,36.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,54.0,54.0,55.0,56.0,57.0,57.0,58.0,59.0,60.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,25.0,28.0,30.0,32.0,34.0,37.0,41.0,43.0,45.0,47.0,48.0,50.0,50.0,52.0,54.0,55.0,55.0,56.0,55.0,55.0,56.0,56.0,56.0,56.0
NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.51025332355555,,,,,,37.85511207572727,36.492875761444445,,40.48178100594117,,,49.920234235066665,,,41.01417613033333,,,,39.3770934701,,,71.0,30.0,28.0,25.0,24.0,27.0,29.0,30.0,30.0,30.0,35.0,39.0,40.0,39.0,38.0,41.0,43.0,44.0,42.0,46.0,47.0,45.0,47.0,47.0,47.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,32.0,32.0,29.0,31.0,30.0,29.0,32.0,35.0,38.0,40.0,35.0,34.0,32.0,27.0,35.0,37.0,39.0,13.0,9.0,6.0,5.0,7.0,9.0,10.0,9.0,9.0,17.0,24.0,28.0,28.0,24.0,30.0,35.0,37.0,38.0,41.0,45.0,45.0,41.0,39.0,39.0,62.0,63.0,63.0,64.0,65.0,66.0,67.0,67.0,68.0,69.0,70.0,70.0,71.0,72.0,73.0,73.0,74.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,33.0,33.0,33.0,34.0,36.0,37.0,39.0,41.0,44.0,45.0,43.0,41.0,39.0,38.0,36.0,34.0,34.0,32.0,43.0,44.0,43.0,44.0,44.0,44.0
NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27013174229412,,,,,27.021507011444445,,,33.13463534810526,,,,,,,,28.352188122199998,,,,,31.867460918400003,,,,,,,,,,,46.0,59.0,59.0,60.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,70.0,71.0,70.0,71.0,72.0,70.0,71.0,71.0,71.0,72.0,70.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,47.0,49.0,49.0,49.0,51.0,53.0,56.0,57.0,53.0,57.0,58.0,52.0,54.0,55.0,53.0,56.0,49.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,70.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,69.0,70.0,71.0,72.0,72.0,74.0,75.0,76.0,78.0,78.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,79.0,81.0,82.0,82.0,81.0,82.0,81.0
NIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,46.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,62.0,64.0,65.0,65.0,66.0,66.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,67.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,62.0,66.0,70.0,74.0,74.0,74.0,81.0,85.0,86.0,87.0,88.0,89.0,88.0,88.0,88.0,88.0,79.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,41.0,41.0,42.0,43.0,43.0,44.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,55.0,55.0
NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9763775549999996,,,,,,,,,,54.0,77.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,83.0,83.0,84.0,84.0,85.0,84.0,85.0,85.0,85.0,85.0,85.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,95.0,97.0,97.0,98.0,98.0,98.0,96.0,97.0,97.0,94.0,94.0,94.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,58.0,59.0,60.0,60.0,61.0,62.0,62.0,63.0,63.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.657038400555555,7.033822006555557,7.996309955777779,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,73.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,100.0,97.0,98.0,98.0,98.0,98.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,34.0,37.0,39.0,42.0,44.0,47.0,49.0,51.0,53.0,55.0,57.0,58.0,60.0,61.0,62.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,71.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0
NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.037041246950004,,,,,,,,,,27.393798271866668,27.6318706194,27.410257366,25.1452791333,,,,,,23.2820102929,,,100.0,18.0,20.0,22.0,23.0,25.0,28.0,30.0,32.0,34.0,35.0,37.0,39.0,40.0,43.0,45.0,46.0,48.0,45.0,47.0,51.0,51.0,54.0,56.0,58.0,18.0,18.0,18.0,18.0,18.0,21.0,22.0,23.0,24.0,25.0,26.0,29.0,27.0,33.0,35.0,37.0,39.0,27.0,29.0,33.0,35.0,41.0,48.0,50.0,15.0,17.0,20.0,22.0,25.0,28.0,30.0,33.0,36.0,39.0,41.0,44.0,47.0,50.0,53.0,56.0,60.0,63.0,66.0,69.0,72.0,76.0,79.0,83.0,10.0,13.0,15.0,17.0,19.0,21.0,24.0,26.0,27.0,29.0,31.0,32.0,33.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,42.0,43.0,43.0,37.0,38.0,41.0,44.0,46.0,49.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,57.0,58.0,59.0,60.0,63.0,66.0,69.0,66.0,64.0,61.0,62.0
NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8737448057777778,,,,,,,,,,,,,46.0,39.0,42.0,44.0,46.0,47.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,58.0,58.0,58.0,59.0,59.0,60.0,61.0,61.0,62.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,74.0,72.0,71.0,70.0,70.0,71.0,71.0,72.0,72.0,65.0,65.0,64.0,64.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,9.0,11.0,14.0,16.0,18.0,20.0,22.0,24.0,25.0,27.0,29.0,30.0,32.0,33.0,34.0,36.0,37.0,38.0,39.0,40.0,42.0,42.0,43.0,44.0,55.0,58.0,58.0,58.0,58.0,58.0,58.0,60.0,61.0,61.0,62.0,62.0,61.0,62.0,63.0,63.0,64.0,63.0,63.0,63.0,64.0,64.0,64.0,65.0
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,85.0,86.0,86.0,86.0,87.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,88.0,89.0,89.0,89.0,89.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,98.0,99.0,99.0,100.0,99.0,99.0,99.0,97.0,94.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.0,54.0,56.0,58.0,59.0,61.0,62.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,70.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0,75.0,75.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85962951390909,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,74.0,74.0,74.0,76.0,75.0,74.0,74.0,75.0,75.0,74.0,75.0,74.0,73.0,73.0,73.0,73.0,85.0,85.0,86.0,86.0,87.0,88.0,89.0,90.0,90.0,90.0,89.0,94.0,88.0,84.0,82.0,85.0,85.0,82.0,85.0,81.0,80.0,78.0,78.0,77.0,89.0,89.0,90.0,91.0,91.0,92.0,93.0,94.0,95.0,95.0,96.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,70.0,70.0,70.0,69.0,68.0,68.0,68.0,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0
