COUNTRY/REGION,YEAR,IndicatorCode,NumericValue
WPR,2008,FINANCIALHARDSHIP_MILLIONOFPOP,57.862928
RC_ECA,2022,FINANCIALHARDSHIP_MILLIONOFPOP,494.157710999
UNSDG_WESTERNASIANORTHERNAFR,2016,FINANCIALHARDSHIP_MILLIONOFPOP,86.012711836
GLOBAL,2001,FINANCIALHARDSHIP_MILLIONOFPOP,1683.512709369
UNSDG_OCEANIA,2011,FINANCIALHARDSHIP_MILLIONOFPOP,1.175747875
EUR,2001,FINANCIALHARDSHIP_MILLIONOFPOP,95.054736779
NC,2004,FINANCIALHARDSHIP_MILLIONOFPOP,3.658840594
UNSDG_WESTERNASIANORTHERNAFR,2009,FINANCIALHARDSHIP_MILLIONOFPOP,74.299662148
AFR,2019,FINANCIALHARDSHIP_MILLIONOFPOP,18.375884
EUR,2000,FINANCIALHARDSHIP_MILLIONOFPOP,25.293204
WB_ECA,2011,FINANCIALHARDSHIP_MILLIONOFPOP,9.174459
WB_MNA,2009,FINANCIALHARDSHIP_MILLIONOFPOP,15.456061
WPR_WO_IDN,2006,FINANCIALHARDSHIP_MILLIONOFPOP,546.401778844
WPR,2013,FINANCIALHARDSHIP_MILLIONOFPOP,483.770676494
SEAR_W_IDN,2003,FINANCIALHARDSHIP_MILLIONOFPOP,66.536396
WB_LI,2022,FINANCIALHARDSHIP_MILLIONOFPOP,220.358053687
SEAR_W_IDN,2021,FINANCIALHARDSHIP_MILLIONOFPOP,656.293917664
WB_HI,2020,FINANCIALHARDSHIP_MILLIONOFPOP,32.09391
WB_ECA,2007,FINANCIALHARDSHIP_MILLIONOFPOP,10.386912
WB_SAR2,2008,FINANCIALHARDSHIP_MILLIONOFPOP,103.9974
WB_ECA,2015,FINANCIALHARDSHIP_MILLIONOFPOP,87.555114731
WB_MNA,2012,FINANCIALHARDSHIP_MILLIONOFPOP,123.057329076
UNSDG_SIDS,2007,FINANCIALHARDSHIP_MILLIONOFPOP,2.12252325
UNSDG_WESTERNASIANORTHERNAFR,2017,FINANCIALHARDSHIP_MILLIONOFPOP,15.52283
WB_LAC,2010,FINANCIALHARDSHIP_MILLIONOFPOP,90.146154754
RC_ESCWA,2019,FINANCIALHARDSHIP_MILLIONOFPOP,31.819996
WB_SSA,2005,FINANCIALHARDSHIP_MILLIONOFPOP,294.720449545
UNSDG_LLDC,2004,FINANCIALHARDSHIP_MILLIONOFPOP,134.483220598
UNSDG_CENTRALASIASOUTHERNASIA,2004,FINANCIALHARDSHIP_MILLIONOFPOP,512.282399383
WB_LMI,2010,FINANCIALHARDSHIP_MILLIONOFPOP,95.993024
NC,2015,FINANCIALHARDSHIP_MILLIONOFPOP,3.521736363
RC_ESCAP,2006,FINANCIALHARDSHIP_MILLIONOFPOP,1257.415038012
RC_ECLAL,2021,FINANCIALHARDSHIP_MILLIONOFPOP,26.296558
EUR,2016,FINANCIALHARDSHIP_MILLIONOFPOP,121.160330698
WB_SSA,2011,FINANCIALHARDSHIP_MILLIONOFPOP,301.974300371
UNSDG_OCEANIA,2022,FINANCIALHARDSHIP_MILLIONOFPOP,6.567905836
WB_SAR,2017,FINANCIALHARDSHIP_MILLIONOFPOP,401.144132162
SEAR_W_IDN,2001,FINANCIALHARDSHIP_MILLIONOFPOP,60.954976
NC,2020,FINANCIALHARDSHIP_MILLIONOFPOP,2.111448785
UNSDG_OCEANIA,2019,FINANCIALHARDSHIP_MILLIONOFPOP,4.631449956
