IndicatorCode,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5
YEAR,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NER,7699606.0,6269333.0,5524696.0,5456559.0,7846331.0,9201358.0,4998231.0,4868455.0,5284870.0,3364127.0,2348107.0,1724858.0,2229980.0,2003150.0,6050896.0,5816989.0,7526076.0,3539260.0,4125116.0,5209970.0,,6935625.0,0.0,2859785.0,2151297.0,1669663.0,3149388.0,1456968.0,1468279.0,1449846.0,1099175.0,0.0,13051.0,12280.0,8139.0,11925.0,6540.0,6360.0,2344.0,142.0,3917.0,4385.0,1905.0
NGA,18445018.0,24720588.0,19996558.0,21837512.0,19868226.0,21243693.0,13907587.0,7983852.0,5205575.0,4788514.0,6281619.0,6739691.0,7533.0,,,0.0,15000.0,1100197.0,2802109.0,3421248.0,5383105.0,4554138.0,44026.0,7976993.0,6034667.0,11329581.0,9300261.0,4212880.0,0.0,2913819.0,1764665.0,3440303.0,8210.0,11411.0,13444.0,10813.0,14819.0,23717.0,8212.0,8116.0,12088.0,5812.0,6213.0
NPL,3596637.0,506670.0,249157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082089.0,1169817.0,944356.0,2148846.0,3240487.0,1484730.0,2297026.0,1171578.0,763042.0,392870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2567.0,1325.0,507.0,967.0,742.0,424.0,349.0,146.0,264.0,177.0,80.0
NRU,9488.0,,,,,,10774.0,10774.0,12300.0,12546.0,12797.0,11946.0,,,,,,,,,,,,,,29.0,0.0,9300.0,10231.0,,0.0,7675.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
OMN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,,,,,,,,,31.0,19.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,699.0,0.0,0.0,78.0,21.0,231.0,258.0,0.0,0.0,0.0
PAK,,1840427.0,3074598.0,3127886.0,3177676.0,3536125.0,4027192.0,2605563.0,2605563.0,2427981.0,0.0,0.0,282024.0,282024.0,449585.0,,,,,,,0.0,0.0,0.0,1451130.0,0.0,0.0,0.0,,0.0,0.0,0.0,,987.0,10362.0,0.0,0.0,80.0,5.0,,0.0,4.0,2.0
PER,,,,,146950.0,97682.0,82739.0,81839.0,183773.0,124212.0,126398.0,235866.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
PNG,3276365.0,,924650.0,983802.0,1158540.0,1797231.0,1797231.0,1833176.0,1869839.0,1907236.0,1945381.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0
SAU,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,2852416.0,5063648.0,5112940.0,4979841.0,4067620.0,4150403.0,3796261.0,3498854.0,3782508.0,3869364.0,2119025.0,1761114.0,132000.0,45000.0,236200.0,729642.0,685192.0,459902.0,396781.0,335791.0,212949.0,992255.0,1575932.0,1792097.0,2443261.0,2122507.0,1984935.0,718708.0,122141.0,837991.0,0.0,0.0,3297.0,1473.0,1075.0,1375.0,1632.0,230.0,324.0,126.0,1045.0,197.0,28.0
SEN,1777694.0,5006460.0,4270350.0,2773498.0,1521752.0,1096783.0,0.0,0.0,0.0,0.0,0.0,0.0,245782.0,674219.0,,254330.0,316744.0,308278.0,244894.0,413449.0,831993.0,1042773.0,1572893.0,412702.0,1058940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1792.0,1797.0,1064.0,5048.0,1531.0,1845.0,933.0,2831.0,3789.0,1503.0,2904.0
SLB,487695.0,522826.0,534850.0,518106.0,530022.0,542215.0,493611.0,503483.0,598343.0,610310.0,722398.0,595815.0,,,,,,,,,,169325.0,26635.0,,0.0,,,,,0.0,0.0,102548.0,7.0,6.0,,8.0,,,,,0.0,11.0,0.0
SOM,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,,,,0.0
SSD,6163493.0,2893614.0,1067985.0,1959040.0,2037403.0,2281053.0,3320485.0,3301101.0,3457307.0,4218290.0,4467120.0,4566091.0,,,,,,,319641.0,323708.0,,0.0,133405.0,175088.0,104217.0,308602.0,340807.0,351823.0,737816.0,1308886.0,1144978.0,1480438.0,213.0,386.0,0.0,183.0,530.0,840.0,69.0,838.0,1424.0,3691.0,5128.0
TCD,7182770.0,7031888.0,6328205.0,6138675.0,4853178.0,3848821.0,3491261.0,270320.0,525691.0,1379732.0,1286234.0,861433.0,,,,,,,,,,204656.0,3815042.0,2310218.0,4451654.0,1979006.0,1973090.0,0.0,,395195.0,738120.0,0.0,637.0,5729.0,9030.0,8047.0,5778.0,3829.0,230.0,,139.0,401.0,146.0
TGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,53.0,180.0,31.0,5.0,10.0,10.0,8.0,6.0,9.0,8.0
TUN,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,26436428.0,9698912.0,4768826.0,4661147.0,3216046.0,3649044.0,2865988.0,1481211.0,2132007.0,2102696.0,1926935.0,1972807.0,4990733.0,2107765.0,6380163.0,3197497.0,3030544.0,1956440.0,1385403.0,4439073.0,5900635.0,5219992.0,258669.0,324441.0,2651671.0,1462100.0,1180733.0,0.0,714273.0,1811733.0,1555092.0,1639620.0,2706.0,2640.0,3897.0,2120.0,3585.0,4774.0,2187.0,3783.0,3998.0,3807.0,3375.0
UGA,11012116.0,9293032.0,5912760.0,1622529.0,589421.0,607279.0,633329.0,700236.0,958461.0,636115.0,685891.0,715900.0,0.0,,682786.0,0.0,3357551.0,2970522.0,5077371.0,5150695.0,1805596.0,2743081.0,928490.0,1181863.0,485774.0,317948.0,0.0,400120.0,501990.0,494310.0,580936.0,193625.0,9980.0,8734.0,2818.0,2105.0,4104.0,0.0,1362.0,0.0,1947.0,1199.0,823.0
VEN,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,196.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,
VNM,0.0,0.0,0.0,2157.0,3712.0,3712.0,144457.0,147346.0,0.0,0.0,0.0,0.0,12000.0,117000.0,,,,,,,,0.0,0.0,0.0,3712.0,0.0,128636.0,0.0,0.0,0.0,0.0,,5934.0,2731.0,0.0,0.0,1825.0,40.0,27.0,0.0,0.0,3701.0,
VUT,219937.0,262202.0,266041.0,271465.0,277708.0,284095.0,291481.0,299059.0,305040.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,265836.0,0.0,0.0,0.0,0.0,,7139.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0
YEM,3496908.0,556877.0,917070.0,1038108.0,1455523.0,1531570.0,2897379.0,2566332.0,2651678.0,2614019.0,2667090.0,2362104.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,361675.0,0.0,0.0,869442.0,126057.0,895241.0,948962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZMB,7188443.0,9667676.0,2990824.0,4980685.0,4597536.0,5085420.0,2636720.0,2347838.0,2402277.0,1357153.0,624587.0,642076.0,,,,,3856.0,0.0,139.0,1031826.0,825658.0,675582.0,1611875.0,2017176.0,2795580.0,1138230.0,928161.0,0.0,1175093.0,576606.0,0.0,0.0,1474.0,1100.0,1829.0,596.0,1134.0,489.0,0.0,0.0,0.0,482.0,340.0
ZWE,447002.0,636445.0,1911091.0,1556052.0,1660159.0,1732077.0,3623648.0,3666137.0,4454588.0,2258393.0,1472043.0,259552.0,,,,,,,,,,0.0,0.0,115503.0,0.0,398493.0,1290643.0,1610390.0,646277.0,884935.0,453864.0,207221.0,,0.0,0.0,0.0,0.0,889.0,346.0,258.0,340.0,625.0,412.0
