IndicatorCode,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT
YEAR,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COD,42394937.0,43504836.0,40348952.0,41151940.0,46447852.0,50388597.0,49326691.0,,52044663.0,54801844.0,55374689.0,57748368.0,4876791.0,8310318.0,9343606.0,9534666.0,17704256.0,20290244.0,22403956.0,23126856.0,24536180.0,26049139.0,29751168.0,31374142.0,35695074.0,39752882.0,39811394.0,,41669042.0,44008423.0,44590795.0,44320043.0
COG,1427670.0,1458765.0,518120.0,596972.0,661383.0,678758.0,713514.0,,786404.0,804412.0,822832.0,841658.0,406031.0,416963.0,449171.0,478692.0,617167.0,651922.0,686127.0,689138.0,688131.0,571752.0,402635.0,473321.0,509072.0,548687.0,581904.0,,521584.0,581959.0,273102.0,772264.0
COL,,,,,,,,,,,,,1161.0,1153.0,1151.0,,,,,,,,,,,,,,,,,
ECU,,,,,,,,,,,,,19933.0,21034.0,21228.0,15070.0,15425.0,,,,,,,,,,,,,,,
ETH,11858617.0,12104208.0,16570870.0,17402030.0,17506842.0,17221291.0,23153508.0,,26249925.0,29905284.0,28901151.0,30555363.0,2531967.0,3665682.0,4135538.0,4315374.0,4613362.0,4809869.0,4741282.0,6446552.0,7165807.0,9747701.0,10643027.0,13934852.0,14173602.0,14125809.0,16861181.0,,17421125.0,16688534.0,20740188.0,20330452.0
GAB,82764.0,71000.0,74550.0,76466.0,76466.0,721771.0,721771.0,,721967.0,764035.0,783365.0,783365.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
GHA,4450048.0,2545217.0,3995382.0,5169058.0,8066348.0,9617037.0,7621642.0,,8390624.0,8616893.0,4944189.0,5199035.0,675066.0,1069137.0,,1784353.0,544959.0,1491516.0,1776626.0,3466716.0,3495861.0,3372058.0,3416583.0,4331666.0,4403121.0,6441223.0,6526501.0,,4099196.0,4054549.0,3784575.0,4328134.0
GIN,3275821.0,3358110.0,8401792.0,6781592.0,6930788.0,7083264.0,7083264.0,,7960337.0,8178723.0,8401212.0,11779023.0,,,,2417320.0,,,2517391.0,2236136.0,2261919.0,956726.0,2544455.0,4745031.0,5007554.0,5283365.0,0.0,,5861078.0,6174969.0,5586441.0,7227541.0
GNB,188404.0,192326.0,472476.0,517050.0,554035.0,533512.0,553775.0,,579506.0,592821.0,625270.0,646572.0,,,,70616.0,,,135014.0,107835.0,107278.0,124517.0,0.0,301376.0,429437.0,339446.0,339446.0,394526.0,0.0,209066.0,0.0,443616.0
GNQ,85805.0,90540.0,95067.0,98797.0,98797.0,98797.0,98797.0,,,,,,,,50064.0,9294.0,56902.0,57735.0,,,11840.0,,,,,,0.0,,,,,
GTM,,,,,,,,,,,,,164690.0,166932.0,160117.0,117948.0,97545.0,106051.0,105606.0,,,,,,,,,,,,,
LBR,3092730.0,3174470.0,2987796.0,2911626.0,2575431.0,3094538.0,3175460.0,3159525.0,3237250.0,3635654.0,3762030.0,3837984.0,678178.0,1516586.0,2442161.0,3586007.0,1288496.0,2003343.0,2419509.0,2388812.0,2646567.0,,1777512.0,2148543.0,2165520.0,2148214.0,2663325.0,0.0,2297650.0,2647288.0,2702469.0,3115708.0
MEX,,,,,,,,,,,,,144685.0,139531.0,138203.0,136098.0,94845.0,97404.0,102227.0,,,,,,,,,,,,,
