IndicatorCode,FOODBORNE_DALY,FOODBORNE_DALY_100k,FOODBORNE_DALY_CASE,FOODBORNE_DTH,FOODBORNE_DTH_100K,FOODBORNE_ILL,FOODBORNE_ILL_100K,FOODBORNE_YLD,FOODBORNE_YLD_100K,FOODBORNE_YLD_CASE,FOODBORNE_YLL,FOODBORNE_YLL_100K,FOODBORNE_YLL_CASE,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,IHRSPAR2_C13,IHRSPAR2_C13,IHRSPAR2_C13
YEAR,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2021,2022,2023,2024,2016,2017,2018,2019,2021,2022,2023,2024,2021,2022,2023
BDI,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,,,2.0,,,,1.0,,20.0,20.0,20.0
BEL,,,,,,,,,,,,,,80.0,20.0,60.0,60.0,,5.0,,,,,,,80.0,20.0,60.0
BEN,,,,,,,,,,,,,,40.0,40.0,20.0,60.0,,1.0,,,,,1.0,,40.0,40.0,20.0
BFA,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,1.0,,,,,,2.0,40.0,40.0,40.0
BGD,,,,,,,,,,,,,,60.0,60.0,80.0,80.0,3.0,,,,,,,2.0,60.0,60.0,80.0
BGR,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
BHR,,,,,,,,,,,,,,100.0,80.0,100.0,100.0,4.0,,,,,,,,100.0,80.0,100.0
BHS,,,,,,,,,,,,,,60.0,80.0,80.0,80.0,,,,,,,,,60.0,80.0,80.0
BIH,,,,,,,,,,,,,,40.0,40.0,40.0,,,,,,,,,,40.0,40.0,40.0
BLR,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,100.0,100.0,100.0
BLZ,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,0.0,,,,,,,,80.0,80.0,80.0
BOL,,,,,,,,,,,,,,20.0,80.0,20.0,20.0,,,,,,,,,20.0,80.0,20.0
BRA,,,,,,,,,,,,,,100.0,100.0,80.0,40.0,,,,,,,,,100.0,100.0,80.0
BRB,,,,,,,,,,,,,,,80.0,80.0,80.0,,,,,,,,,,80.0,80.0
BRN,,,,,,,,,,,,,,,,80.0,80.0,,,,3.0,,,,,,,80.0
BTN,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,,2.0,,,,,,,60.0,60.0,60.0
BWA,,,,,,,,,,,,,,40.0,40.0,80.0,20.0,,1.0,,,,,,2.0,40.0,40.0,80.0
CAF,,,,,,,,,,,,,,40.0,40.0,20.0,20.0,,,1.0,,,,1.0,,40.0,40.0,20.0
CAN,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,,5.0,,,,,,100.0,100.0,100.0
CHE,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,4.0,,,,,,,80.0,80.0,80.0
CHL,,,,,,,,,,,,,,80.0,40.0,80.0,40.0,,,,,,,,,80.0,40.0,80.0
CHN,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
CIV,,,,,,,,,,,,,,,,,40.0,2.0,,,,,,2.5,,20.0,20.0,40.0
CMR,,,,,,,,,,,,,,20.0,20.0,40.0,40.0,,2.0,,,,,,,20.0,20.0,40.0
COD,,,,,,,,,,,,,,40.0,40.0,20.0,20.0,,,,,,,2.0,,40.0,40.0,20.0
COG,,,,,,,,,,,,,,80.0,80.0,20.0,20.0,,,,1.0,,,1.0,,80.0,80.0,20.0
COK,,,,,,,,,,,,,,80.0,60.0,60.0,60.0,,,,,,,,,80.0,60.0,60.0
COL,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
COM,,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,2.0,,,,,,,40.0,40.0,40.0
CPV,,,,,,,,,,,,,,60.0,80.0,80.0,40.0,,,,1.0,,,,,60.0,80.0,80.0
CRI,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
